Category	Category Rank	Full Journal Title	JCR Abbreviated Title	ISSN	Total Cites	Journal Impact Factor	Impact Factor without Journal Self Cites	5-Year Impact Factor	Immediacy Index	Citable Items	Cited Half-Life	Citing Half-life	Eigenfactor Score	Article Influence Score	% Articles in Citable Items	Average Journal Impact Factor Percentile	Normalized Eigenfactor
Plant Sciences	75	Journal of Plant Ecology	J PLANT ECOL	1752-9921	1,613	2.282	2.178	2.239	0.854	89	5.6	11.8	0.002950	0.644	96.63	58.510	0.35142
Plant Sciences	76	Journal of Ethnobiology and Ethnomedicine	J ETHNOBIOL ETHNOMED	1746-4269	2,305	2.273	1.702	3.060	0.300	80	6.0	9.4	0.002620	0.539	97.50	55.544	0.31126
Plant Sciences	77	AoB Plants	AOB PLANTS	2041-2851	1,571	2.270	2.209	2.849	0.329	82	3.7	10.9	0.004990	0.826	96.34	57.766	0.59364
Plant Sciences	78	Agronomy-Basel	AGRONOMY-BASEL	2073-4395	932	2.259	2.056	Not Available	0.337	303	3.4	8.6	0.002170	Not Available	86.14	72.611	0.25830
Plant Sciences	79	PLANT CELL TISSUE AND ORGAN CULTURE	PLANT CELL TISS ORG	0167-6857	6,382	2.200	1.686	2.232	0.541	172	7.9	9.4	0.005350	0.379	97.09	54.236	0.63599
Plant Sciences	80	JOURNAL OF PLANT GROWTH REGULATION	J PLANT GROWTH REGUL	0721-7595	3,136	2.179	2.049	2.893	0.684	114	7.9	8.9	0.003380	0.611	95.61	65.132	0.40153
Plant Sciences	81	ALGAE	ALGAE-SEOUL	1226-2617	594	2.156	1.797	2.103	0.071	28	5.5	11.6	0.000920	0.450	100.00	65.448	0.11018
Plant Sciences	82	AQUATIC BOTANY	AQUAT BOT	0304-3770	6,085	2.143	1.960	2.127	0.577	71	14.3	12.0	0.003180	0.502	97.18	64.766	0.37860
Plant Sciences	83	JOURNAL OF PLANT RESEARCH	J PLANT RES	0918-9440	2,652	2.082	1.948	2.051	0.881	84	7.9	12.1	0.003140	0.548	79.76	63.816	0.37346
Plant Sciences	84	PLANT SPECIES BIOLOGY	PLANT SPEC BIOL	0913-557X	717	2.077	2.015	1.745	0.364	22	8.3	13.9	0.000880	0.426	95.45	54.707	0.10488
Plant Sciences	85	JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE	J PLANT NUTR SOIL SC	1436-8730	4,564	2.057	1.987	2.664	0.670	91	9.9	11.0	0.003680	0.611	98.90	64.832	0.43751
Plant Sciences	86	Journal of Soil Science and Plant Nutrition	J SOIL SCI PLANT NUT	0718-9516	1,440	2.006	1.119	2.367	0.163	80	5.0	10.2	0.002010	0.386	97.50	53.452	0.23908
Plant Sciences	87	WEED SCIENCE	WEED SCI	0043-1745	5,549	2.000	1.677	2.301	0.483	87	14.0	11.1	0.003400	0.641	97.70	68.390	0.40449
Plant Sciences	88	PHYCOLOGIA	PHYCOLOGIA	0031-8884	2,835	1.976	1.768	1.970	0.460	63	14.0	11.6	0.002160	0.536	96.83	60.673	0.25663
Plant Sciences	89	PHYTOPATHOLOGIA MEDITERRANEA	PHYTOPATHOL MEDITERR	0031-9465	1,302	1.974	1.500	1.819	0.349	43	7.8	9.2	0.001110	0.383	95.35	67.390	0.13284
Plant Sciences	90	Journal of Applied Research on Medicinal and Aromatic Plants	J APPL RES MED AROMA	2214-7861	276	1.966	1.818	Not Available	0.277	47	2.4	9.4	0.000570	Not Available	91.49	60.746	0.06849
Plant Sciences	91	PHYTOCHEMICAL ANALYSIS	PHYTOCHEM ANALYSIS	0958-0344	2,641	1.963	1.841	2.310	0.984	63	8.9	7.4	0.001970	0.483	90.48	47.878	0.23474
Plant Sciences	92	MOLECULAR BREEDING	MOL BREEDING	1380-3743	5,159	1.862	1.717	2.227	0.352	145	6.6	9.1	0.007070	0.552	99.31	61.665	0.84080
Plant Sciences	93	WEED RESEARCH	WEED RES	0043-1737	3,026	1.857	1.648	2.063	0.348	46	13.4	10.2	0.001870	0.529	93.48	65.389	0.22227
Plant Sciences	94	Journal of Plant Interactions	J PLANT INTERACT	1742-9145	1,027	1.839	1.655	2.281	0.559	59	4.9	9.7	0.001570	0.453	94.92	58.991	0.18692
