Category	Category Rank	Full Journal Title	JCR Abbreviated Title	ISSN	Total Cites	Journal Impact Factor	Impact Factor without Journal Self Cites	5-Year Impact Factor	Immediacy Index	Citable Items	Cited Half-Life	Citing Half-life	Eigenfactor Score	Article Influence Score	% Articles in Citable Items	Average Journal Impact Factor Percentile	Normalized Eigenfactor
Plant Sciences	177	JOURNAL OF GENERAL PLANT PATHOLOGY	J GEN PLANT PATHOL	1345-2630	912	0.887	0.745	1.164	0.230	61	8.5	12.2	0.001040	0.276	96.72	22.588	0.12407
Plant Sciences	178	Plant Biotechnology	PLANT BIOTECHNOL-NAR	1342-4580	943	0.886	0.823	1.057	0.135	52	8.4	10.1	0.000920	0.267	98.08	15.241	0.10947
Plant Sciences	178	Wulfenia	WULFENIA	1561-882X	164	0.886	0.750	1.482	0.053	19	4.4	18.9	0.000240	0.222	100.00	22.149	0.02889
Plant Sciences	180	Botany Letters	BOT LETT	2381-8107	110	0.883	0.740	0.883	0.841	44	1.6	11.0	0.000250	0.250	100.00	21.272	0.03017
Plant Sciences	181	Comparative Cytogenetics	COMP CYTOGENET	1993-0771	333	0.882	0.627	1.065	0.345	29	4.6	13.2	0.000770	0.295	96.55	22.351	0.09256
Plant Sciences	182	BLUMEA	BLUMEA	0006-5196	616	0.854	0.683	0.704	0.370	27	15.3	26.7	0.000270	0.182	100.00	20.395	0.03285
Plant Sciences	183	CANADIAN JOURNAL OF PLANT PATHOLOGY	CAN J PLANT PATHOL	0706-0661	1,678	0.846	0.803	1.197	0.329	70	13.5	9.7	0.001160	0.299	98.57	19.956	0.13793
Plant Sciences	184	JOURNAL OF PLANT PATHOLOGY	J PLANT PATHOL	1125-4653	1,511	0.818	0.729	1.041	0.123	57	8.4	11.2	0.001400	0.244	96.49	19.518	0.16637
Plant Sciences	185	BRITTONIA	BRITTONIA	0007-196X	1,032	0.794	0.701	0.792	0.306	49	21.4	15.3	0.000690	0.231	100.00	19.079	0.08209
Plant Sciences	186	Planta Daninha	PLANTA DANINHA	0100-8358	1,270	0.791	0.435	0.893	0.114	149	8.5	11.1	0.000840	0.140	100.00	18.640	0.10006
Plant Sciences	187	JOURNAL OF AQUATIC PLANT MANAGEMENT	J AQUAT PLANT MANAGE	0146-6623	591	0.788	0.424	0.559	0.235	17	16.7	15.1	0.000120	0.091	100.00	18.592	0.01458
Plant Sciences	188	JOURNAL OF THE TORREY BOTANICAL SOCIETY	J TORREY BOT SOC	1095-5674	699	0.756	0.718	0.764	0.172	29	11.4	13.5	0.000510	0.214	100.00	17.763	0.06106
Plant Sciences	189	JOURNAL OF PLANT NUTRITION	J PLANT NUTR	0190-4167	4,742	0.753	0.698	0.864	0.230	243	13.8	13.1	0.002200	0.175	96.71	17.325	0.26137
Plant Sciences	190	ANNALES BOTANICI FENNICI	ANN BOT FENN	0003-3847	917	0.731	0.635	0.716	0.286	42	12.2	12.5	0.000740	0.193	100.00	16.886	0.08856
Plant Sciences	191	ACTA SOCIETATIS BOTANICORUM POLONIAE	ACTA SOC BOT POL	0001-6977	747	0.718	0.682	1.041	0.410	39	9.1	12.1	0.000750	0.257	94.87	16.447	0.08907
Plant Sciences	192	Plant Genetic Resources-Characterization and Utilization	PLANT GENET RESOUR-C	1479-2621	569	0.717	0.687	0.792	0.471	68	7.3	11.6	0.000740	0.222	97.06	16.009	0.08882
Plant Sciences	193	Acta Phytotaxonomica et Geobotanica	ACTA PHYTOTAX GEOBOT	1346-7565	144	0.714	0.524	Not Available	0.238	21	9.0	12.7	0.000150	Not Available	100.00	15.570	0.01876
Plant Sciences	194	CASTANEA	CASTANEA	0008-7475	397	0.700	0.700	0.480	0.125	24	17.4	14.1	0.000160	0.131	100.00	15.132	0.02008
Plant Sciences	195	Journal of Plant Registrations	J PLANT REGIST	1936-5209	614	0.692	0.590	0.800	0.216	74	6.5	13.0	0.000750	0.174	100.00	19.425	0.09011
Plant Sciences	196	Journal of Essential Oil Bearing Plants	J ESSENT OIL BEAR PL	0972-060X	1,144	0.688	0.549	0.748	0.074	136	5.2	9.7	0.001380	0.118	97.79	14.254	0.16414
Plant Sciences	197	COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	COMMUN SOIL SCI PLAN	0010-3624	5,644	0.687	0.609	0.784	0.086	243	16.1	12.5	0.002690	0.165	98.77	11.640	0.32008
Plant Sciences	198	KEW BULLETIN	KEW BULL	0075-5974	1,356	0.680	0.485	0.662	0.352	54	19.5	15.9	0.000720	0.200	100.00	13.377	0.08614
Plant Sciences	199	Invasive Plant Science and Management	INVAS PLANT SCI MANA	1939-7291	580	0.672	0.463	1.030	0.080	25	6.7	10.5	0.000760	0.252	96.00	12.939	0.09120
Plant Sciences	199	PAKISTAN JOURNAL OF BOTANY	PAK J BOT	0556-3321	4,376	0.672	0.407	0.770	0.238	303	7.9	10.5	0.002640	0.117	99.34	12.939	0.31430
Plant Sciences	201	Acta Botanica Mexicana	ACTA BOT MEX	0187-7151	467	0.661	0.429	0.727	0.077	39	10.9	12.1	0.000300	0.164	100.00	12.061	0.03571
Plant Sciences	202	Czech Journal of Genetics and Plant Breeding	CZECH J GENET PLANT	1212-1975	275	0.652	0.652	0.641	0.074	27	7.6	11.4	0.000280	0.163	92.59	16.205	0.03348
Plant Sciences	203	Notulae Botanicae Horti Agrobotanici Cluj-Napoca	NOT BOT HORTI AGROBO	0255-965X	927	0.624	0.590	0.914	0.378	90	6.2	10.5	0.000980	0.169	96.67	11.184	0.11694
Plant Sciences	204	TAIWANIA	TAIWANIA	0372-333X	350	0.602	0.441	Not Available	0.204	49	8.2	12.2	0.000380	Not Available	100.00	10.746	0.04605
Plant Sciences	205	MAYDICA	MAYDICA	0025-6153	680	0.578	0.438	0.667	0.160	25	13.2	11.3	0.000310	0.146	92.00	14.423	0.03776
Plant Sciences	206	ADANSONIA	ADANSONIA	1280-8571	316	0.576	0.455	0.705	0.500	14	14.2	16.6	0.000260	0.229	100.00	9.868	0.03162
Plant Sciences	207	CANDOLLEA	CANDOLLEA	0373-2967	390	0.561	0.424	0.477	0.115	26	23.3	14.8	0.000250	0.128	100.00	9.430	0.02990
Plant Sciences	208	SEED SCIENCE AND TECHNOLOGY	SEED SCI TECHNOL	0251-0952	1,373	0.508	0.415	0.713	0.059	51	14.9	12.4	0.000490	0.140	100.00	14.998	0.05902
Plant Sciences	209	INDIAN JOURNAL OF GENETICS AND PLANT BREEDING	INDIAN J GENET PL BR	0019-5200	550	0.465	0.303	0.464	0.099	71	10.1	10.9	0.000440	0.080	100.00	8.553	0.05263
Plant Sciences	210	CALDASIA	CALDASIA	0366-5232	367	0.458	0.333	0.445	0.029	34	13.4	12.8	0.000180	0.104	100.00	9.498	0.02246
Plant Sciences	211	ANALES DEL JARDIN BOTANICO DE MADRID	AN JARDIN BOT MADRID	0211-1322	355	0.421	0.421	0.783	0.000	12	12.2	13.1	0.000280	0.264	100.00	7.675	0.03437
Plant Sciences	212	NOVON	NOVON	1055-3177	609	0.403	0.278	0.472	0.163	43	12.5	14.4	0.000390	0.128	100.00	7.237	0.04704
Plant Sciences	213	Boletin de la Sociedad Argentina de Botanica	B SOC ARGENT BOT	1851-2372	473	0.388	0.336	0.491	0.051	59	11.9	13.2	0.000440	0.122	100.00	6.798	0.05332
Plant Sciences	214	RHODORA	RHODORA	0035-4902	361	0.383	0.255	0.434	0.056	18	34.2	18.2	0.000140	0.102	100.00	6.360	0.01692
Plant Sciences	215	GAYANA BOTANICA	GAYANA BOT	0717-6643	300	0.382	0.263	0.449	0.179	28	8.0	12.9	0.000240	0.100	100.00	5.921	0.02891
Plant Sciences	216	Bangladesh Journal of Plant Taxonomy	BANGL J PLANT TAXON	1028-2092	127	0.344	0.197	0.463	0.036	28	6.0	17.7	0.000180	0.104	100.00	5.482	0.02213
Plant Sciences	217	TELOPEA	TELOPEA	0312-9764	227	0.322	0.322	0.294	Not Available	0	12.3	Not Available	0.000220	0.085	Not Available	5.044	0.02716
Plant Sciences	218	PHYTOPROTECTION	PHYTOPROTECTION	0031-9511	138	0.286	0.286	0.292	Not Available	0	18.7	Not Available	0.000020	0.076	Not Available	4.605	0.00288
Plant Sciences	219	ACTA BIOLOGICA COLOMBIANA	ACTA BIOL COLOMB	1900-1649	257	0.283	0.264	Not Available	0.156	32	5.6	11.2	0.000350	Not Available	100.00	2.819	0.04245
Plant Sciences	220	PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY	PHYTON-INT J EXP BOT	1851-5657	251	0.282	0.224	0.394	0.000	37	7.8	11.7	0.000210	0.068	97.30	3.728	0.02526
Plant Sciences	221	IHERINGIA SERIE BOTANICA	IHERINGIA SER BOT	0073-4705	160	0.269	0.256	0.337	0.059	34	9.2	13.3	0.000190	0.085	100.00	3.289	0.02261
Plant Sciences	222	PHYTON-ANNALES REI BOTANICAE	PHYTON-ANN REI BOT A	0079-2047	369	0.216	0.162	0.283	0.143	14	17.8	29.4	0.000080	0.065	100.00	2.851	0.01003
Plant Sciences	223	BANGLADESH JOURNAL OF BOTANY	BANGL J BOT	0253-5416	273	0.214	0.182	0.247	0.056	125	5.4	11.3	0.000360	0.049	100.00	2.412	0.04364
Plant Sciences	224	Bradleya	BRADLEYA	0265-086X	79	0.200	0.020	0.177	0.143	21	Not Available	21.3	0.000020	0.014	100.00	1.974	0.00239
Plant Sciences	225	HASELTONIA	HASELTONIA	1070-0048	69	0.120	0.120	0.345	Not Available	0	Not Available	Not Available	0.000090	0.128	Not Available	1.535	0.01101
Plant Sciences	226	Zeitschrift fur Arznei- & Gewurzpflanzen	Z ARZNEI- GEWURZPFLA	1431-9292	47	0.080	0.060	0.100	0.045	22	Not Available	12.8	0.000020	0.017	95.45	1.096	0.00267
Plant Sciences	227	Gorteria	GORTERIA	0017-2294	30	0.000	0.000	0.137	0.182	11	Not Available	22.5	0.000010	0.021	100.00	0.658	0.00171
Plant Sciences	228	Mediterranean Botany	MEDITERR BOT	2603-9109	19	Not Available	0.000	Not Available	1.118	17	Not Available	10.9	0.000000	Not Available	100.00	0.219	0.00000
Oceanography	1	Annual Review of Marine Science	ANNU REV MAR SCI	1941-1405	3,870	15.225	15.000	15.792	5.000	20	6.3	10.5	0.008370	5.978	0.00	98.998	0.99437
Oceanography	2	Oceanography and Marine Biology	OCEANOGR MAR BIOL	0078-3218	2,485	6.286	6.286	7.742	Not Available	0	17.3	Not Available	0.001030	2.529	Not Available	98.169	0.12301
Oceanography	3	LIMNOLOGY AND OCEANOGRAPHY	LIMNOL OCEANOGR	0024-3590	29,814	4.325	4.061	4.402	1.193	218	16.2	11.5	0.017180	1.455	99.08	96.916	2.04092
Oceanography	4	OCEANOGRAPHY	OCEANOGRAPHY	1042-8275	3,813	3.913	3.722	4.455	1.059	85	7.9	7.8	0.007790	1.916	100.00	94.697	0.92598
Oceanography	5	JOURNAL OF PHYSICAL OCEANOGRAPHY	J PHYS OCEANOGR	0022-3670	14,963	3.389	2.653	3.472	0.759	162	14.8	11.6	0.017120	1.437	100.00	93.182	2.03432
Oceanography	6	ICES JOURNAL OF MARINE SCIENCE	ICES J MAR SCI	1054-3139	11,167	3.367	3.025	3.402	1.173	214	8.9	9.6	0.015140	1.037	96.26	91.097	1.79915
Oceanography	7	MARINE GEOLOGY	MAR GEOL	0025-3227	14,074	3.349	2.849	3.828	0.880	175	13.7	11.9	0.011600	1.153	98.29	83.979	1.37872
Oceanography	8	PROGRESS IN OCEANOGRAPHY	PROG OCEANOGR	0079-6611	8,689	3.245	2.946	4.372	1.206	160	9.5	11.2	0.012970	1.586	95.00	88.636	1.54048
Oceanography	9	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS	J GEOPHYS RES-OCEANS	2169-9275	35,566	3.235	2.513	3.567	0.718	514	12.1	10.1	0.042980	1.298	99.81	87.121	5.10475
Oceanography	10	OCEAN MODELLING	OCEAN MODEL	1463-5003	4,140	3.095	2.733	3.503	0.744	90	6.8	10.1	0.009170	1.380	95.56	76.815	1.08929
Oceanography	11	PALEOCEANOGRAPHY	PALEOCEANOGRAPHY	0883-8305	7,947	3.087	3.087	3.675	Not Available	0	13.1	Not Available	0.009770	1.809	Not Available	85.816	1.16124
Oceanography	12	DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS	DEEP-SEA RES PT I	0967-0637	8,441	2.848	2.624	3.052	0.443	122	11.4	11.8	0.009560	1.049	100.00	82.576	1.13615
Oceanography	13	OCEAN ENGINEERING	OCEAN ENG	0029-8018	13,034	2.730	2.042	3.067	0.565	911	4.8	9.1	0.017480	0.567	97.48	83.753	2.07712
Oceanography	14	MARINE CHEMISTRY	MAR CHEM	0304-4203	9,822	2.713	2.471	3.779	1.000	110	13.6	11.7	0.008290	1.205	98.18	68.406	0.98477
Oceanography	15	FISHERIES OCEANOGRAPHY	FISH OCEANOGR	1054-6006	2,297	2.660	2.515	2.635	0.688	48	11.8	11.5	0.002290	0.794	100.00	77.957	0.27277
Oceanography	16	ESTUARINE COASTAL AND SHELF SCIENCE	ESTUAR COAST SHELF S	0272-7714	17,636	2.611	2.335	2.975	0.736	387	10.1	11.1	0.015580	0.756	97.67	78.304	1.85098
Oceanography	17	OCEAN & COASTAL MANAGEMENT	OCEAN COAST MANAGE	0964-5691	6,607	2.595	2.140	3.043	0.685	327	5.3	8.4	0.009540	0.619	95.72	74.038	1.13338
Oceanography	18	IEEE JOURNAL OF OCEANIC ENGINEERING	IEEE J OCEANIC ENG	0364-9059	4,355	2.567	2.367	3.033	1.308	91	12.0	10.3	0.003390	0.660	98.90	70.720	0.40314
Oceanography	19	JOURNAL OF MARINE SYSTEMS	J MARINE SYST	0924-7963	6,828	2.539	2.407	2.838	0.806	124	9.4	11.7	0.008600	0.880	100.00	70.563	1.02172
Oceanography	19	Ocean Science	OCEAN SCI	1812-0784	2,002	2.539	2.299	3.129	0.337	92	5.4	9.9	0.005670	1.206	100.00	66.508	0.67350
Oceanography	21	APPLIED OCEAN RESEARCH	APPL OCEAN RES	0141-1187	3,556	2.436	2.162	2.695	0.500	186	6.3	9.6	0.004800	0.606	99.46	71.970	0.57077
Oceanography	22	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY	DEEP-SEA RES PT II	0967-0645	11,237	2.430	2.336	2.958	1.379	182	10.2	11.4	0.012830	0.951	98.90	67.424	1.52423
Oceanography	23	MARINE ECOLOGY PROGRESS SERIES	MAR ECOL PROG SER	0171-8630	39,386	2.359	2.122	2.715	0.657	405	13.1	11.1	0.024460	0.809	98.52	63.779	2.90551
Oceanography	24	JOURNAL OF PLANKTON RESEARCH	J PLANKTON RES	0142-7873	7,047	2.209	2.126	2.590	0.585	53	13.6	12.8	0.005680	0.795	96.23	66.225	0.67470
Oceanography	25	CONTINENTAL SHELF RESEARCH	CONT SHELF RES	0278-4343	9,948	2.134	2.003	2.494	0.367	139	10.3	11.5	0.010450	0.758	100.00	62.879	1.24124
Oceanography	26	LIMNOLOGY AND OCEANOGRAPHY-METHODS	LIMNOL OCEANOGR-METH	1541-5856	2,881	2.094	1.946	2.591	0.456	68	8.4	11.2	0.003950	0.907	98.53	67.587	0.46974
Oceanography	27	JOURNAL OF OCEANOGRAPHY	J OCEANOGR	0916-8370	2,616	2.085	1.924	1.793	0.349	43	12.1	13.3	0.001990	0.556	97.67	59.848	0.23661
Oceanography	28	TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY	TELLUS A	1600-0870	2,928	2.000	1.946	2.260	0.571	28	10.6	10.9	0.003860	1.057	100.00	52.132	0.45940
Oceanography	29	OCEANOLOGIA	OCEANOLOGIA	0078-3234	1,021	1.988	1.671	2.112	0.489	45	6.8	12.0	0.001310	0.466	100.00	56.818	0.15661
Oceanography	30	GEO-MARINE LETTERS	GEO-MAR LETT	0276-0460	1,806	1.940	1.869	1.934	0.462	39	12.1	13.2	0.001510	0.580	97.44	50.738	0.18034
Oceanography	31	OCEAN DYNAMICS	OCEAN DYNAM	1616-7341	2,643	1.869	1.583	2.079	0.303	109	7.2	11.7	0.004860	0.731	100.00	53.788	0.57840
Oceanography	32	MARINE AND FRESHWATER RESEARCH	MAR FRESHWATER RES	1323-1650	5,121	1.859	1.728	1.926	0.670	188	9.1	11.4	0.005200	0.539	98.94	55.890	0.61875
Oceanography	33	BULLETIN OF MARINE SCIENCE	B MAR SCI	0007-4977	5,116	1.742	1.720	2.095	0.850	80	21.1	12.1	0.002010	0.688	100.00	53.388	0.23970
Oceanography	34	Journal of Marine Science and Engineering	J MAR SCI ENG	****-****	499	1.732	1.444	Not Available	0.468	154	2.5	8.6	0.001320	Not Available	97.40	49.242	0.15679
Oceanography	35	Journal of Operational Oceanography	J OPER OCEANOGR	1755-876X	319	1.717	1.391	2.620	0.250	12	3.6	6.9	0.001040	0.859	100.00	40.433	0.12401
Oceanography	36	JOURNAL OF SEA RESEARCH	J SEA RES	1385-1101	3,458	1.704	1.545	2.222	0.481	108	7.7	11.5	0.004900	0.615	100.00	49.726	0.58269
Oceanography	37	ENVIRONMENTAL FLUID MECHANICS	ENVIRON FLUID MECH	1567-7419	1,027	1.605	1.487	1.782	0.493	67	5.9	12.3	0.001880	0.527	100.00	35.191	0.22398
Oceanography	38	JOURNAL OF NAVIGATION	J NAVIGATION	0373-4633	1,747	1.506	1.313	1.875	0.462	91	7.7	7.4	0.001690	0.357	98.90	55.519	0.20173
Oceanography	39	NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH	NEW ZEAL J MAR FRESH	0028-8330	1,959	1.500	1.329	1.404	0.750	40	17.1	9.4	0.000920	0.373	92.50	43.875	0.11015
Oceanography	40	MARINE GEOPHYSICAL RESEARCH	MAR GEOPHYS RES	0025-3235	1,145	1.471	1.314	1.554	2.455	33	13.9	11.3	0.000900	0.528	100.00	38.826	0.10778
Oceanography	41	DYNAMICS OF ATMOSPHERES AND OCEANS	DYNAM ATMOS OCEANS	0377-0265	968	1.405	1.316	1.552	0.303	33	10.5	11.7	0.001250	0.664	100.00	29.790	0.14904
Oceanography	42	HELGOLAND MARINE RESEARCH	HELGOLAND MAR RES	1438-387X	1,592	1.208	1.146	1.560	0.222	18	14.4	15.2	0.001140	0.455	94.44	36.385	0.13625
Oceanography	43	ATMOSPHERE-OCEAN	ATMOS OCEAN	0705-5900	1,252	1.167	1.111	1.687	0.407	27	15.2	9.1	0.001350	0.630	96.30	25.652	0.16107
Oceanography	44	MARINE GEORESOURCES & GEOTECHNOLOGY	MAR GEORESOUR GEOTEC	1064-119X	761	1.166	0.930	1.287	0.656	93	3.9	12.1	0.000960	0.241	100.00	35.590	0.11442
Oceanography	45	POLAR RESEARCH	POLAR RES	0800-0395	1,607	1.152	1.076	1.797	0.209	43	11.1	10.9	0.001610	0.591	100.00	25.061	0.19197
Oceanography	46	MARINE TECHNOLOGY SOCIETY JOURNAL	MAR TECHNOL SOC J	0025-3324	979	1.070	0.980	0.993	0.254	63	9.0	5.2	0.000780	0.208	98.41	31.602	0.09286
Oceanography	47	MARINE GEODESY	MAR GEOD	0149-0419	1,042	0.962	0.698	1.598	0.281	32	8.9	10.0	0.000830	0.372	100.00	16.872	0.09859
Oceanography	48	BRAZILIAN JOURNAL OF OCEANOGRAPHY	BRAZ J OCEANOGR	1679-8759	693	0.926	0.830	1.101	0.111	27	8.0	14.4	0.000680	0.262	100.00	28.136	0.08132
Oceanography	49	OCEANOLOGY	OCEANOLOGY+	0001-4370	1,366	0.892	0.715	0.975	0.097	93	9.2	14.1	0.001250	0.216	98.92	26.515	0.14886
Oceanography	50	IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS	IZV ATMOS OCEAN PHY+	0001-4338	1,197	0.757	0.452	0.801	0.084	166	8.0	12.8	0.001190	0.165	99.40	17.442	0.14192
Oceanography	51	CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY	CHIN J OCEANOL LIMN	0254-4059	1,490	0.741	0.741	0.907	Not Available	0	6.7	Not Available	0.002070	0.218	Not Available	17.695	0.24647
Oceanography	52	ACTA ADRIATICA	ACTA ADRIAT	0001-5113	420	0.714	0.683	0.890	0.042	24	10.6	14.9	0.000360	0.216	95.83	17.698	0.04309
Oceanography	53	Plankton & Benthos Research	PLANKTON BENTHOS RES	1880-8247	271	0.700	0.580	Not Available	0.208	24	8.3	13.9	0.000330	Not Available	95.83	16.477	0.03999
Oceanography	54	ACTA OCEANOLOGICA SINICA	ACTA OCEANOL SIN	0253-505X	1,668	0.699	0.630	0.893	0.360	186	6.1	12.9	0.002360	0.210	100.00	18.939	0.28101
Oceanography	54	Journal of Ocean University of China	J OCEAN U CHINA	1672-5182	988	0.699	0.642	0.822	0.236	161	5.3	11.5	0.001560	0.185	99.38	18.939	0.18590
Oceanography	56	OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES	OCEANOL HYDROBIOL ST	1730-413X	494	0.674	0.621	0.854	0.175	40	6.8	14.7	0.000600	0.181	97.50	15.909	0.07171
Oceanography	57	JOURNAL OF MARINE RESEARCH	J MAR RES	0022-2402	2,744	0.600	0.575	1.090	0.250	4	27.4	22.8	0.000490	0.419	100.00	14.394	0.05844
Oceanography	58	THALASSAS	THALASSAS	0212-5919	159	0.576	0.455	0.640	0.277	47	7.6	15.3	0.000150	0.152	97.87	11.301	0.01791
Oceanography	59	TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES	TERR ATMOS OCEAN SCI	1017-0839	974	0.570	0.551	0.682	0.490	49	10.0	13.8	0.001040	0.214	97.96	7.100	0.12380
Oceanography	60	Journal of Southern Hemisphere Earth Systems Science	J SO HEMISPH EARTH	1836-716X	19	0.543	0.543	0.543	Not Available	0	Not Available	Not Available	0.000100	0.235	Not Available	6.378	0.01291
Oceanography	61	Ocean Science Journal	OCEAN SCI J	1738-5261	466	0.514	0.514	0.875	0.066	61	6.1	12.9	0.000690	0.207	98.36	8.102	0.08295
Oceanography	62	REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA	REV BIOL MAR OCEANOG	0717-3326	583	0.455	0.433	0.574	0.018	55	8.3	12.9	0.000590	0.145	94.55	5.029	0.07065
Oceanography	63	Indian Journal of Geo-Marine Sciences	INDIAN J GEO-MAR SCI	0379-5136	681	0.301	0.265	0.422	0.048	314	4.4	14.4	0.001220	0.078	95.86	5.303	0.14570
Oceanography	64	NAVAL ENGINEERS JOURNAL	NAV ENG J	0028-1425	296	0.246	0.232	0.327	0.028	36	14.3	8.8	0.000150	0.073	97.22	3.337	0.01891
Oceanography	65	Journal of Oceanology and Limnology	J OCEANOL LIMNOL	2096-5508	81	Not Available	0.000	Not Available	0.345	206	Not Available	11.6	0.000000	Not Available	99.51	2.327	0.00050
Oceanography	65	Paleoceanography and Paleoclimatology	PALEOCEANOGR PALEOCL	2572-4517	53	Not Available	0.000	Not Available	0.517	89	Not Available	11.1	0.000010	Not Available	100.00	1.305	0.00174
