"Journal Data Filtered By:  Selected Categories: ZOOLOGY Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY","VET COMP ORTHOPAED","0932-0814","2567-6911","ZOOLOGY - SCIE","1,793","1.083","Q3","0.55","0.5"%," 122/176 ","1.385","0.891","0.152"," 112/179 ","37.71","0.001","0.225","0.296","30.97","Q3","46","100"%,"9.8","12.3","46",
"Journal of Ichthyology","J ICHTHYOL+","0032-9452","1555-6425","ZOOLOGY - SCIE","1,773","0.745","Q4","0.31","3.62"%," 152/176 ","N/A","0.548","0.156"," 156/179 ","13.13","0.001","0.164","N/A","13.92","N/A","96","98.96"%,"14.6","16.6","95",
"ANNALES ZOOLOGICI FENNICI","ANN ZOOL FENN","0003-455X","1797-2450","ZOOLOGY - SCIE","1,764","1.05","Q3","0.39","0"%," 128/176 ","0.982","1.025","0.455"," 143/179 ","20.39","0","0.055","0.243","27.56","Q4","33","100"%,"18.5","16.8","33",
"JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH","J ZOOL SYST EVOL RES","0947-5745","1439-0469","ZOOLOGY - SCIE","1,701","2.424","Q1","0.93","17.31"%," 35/176 ","2.509","2.356","0.415"," 47/179 ","74.02","0.002","0.39","0.703","80.4","Q1","106","95.28"%,"7.4","12.1","101",
"PACIFIC SCIENCE","PAC SCI","0030-8870","1534-6188","ZOOLOGY - SCIE","1,674","0.922","Q4","0.42","0"%," 139/176 ","1.046","0.906","0.333"," 138/179 ","23.18","0","0.088","0.251","21.31","Q4","33","100"%,"19.4","15","33",
"ZOOLOGICHESKY ZHURNAL","ZOOL ZH","0044-5134","N/A","ZOOLOGY - SCIE","1,658","0.326","Q4","0.18","0"%," 174/176 ","0.307","0.283","0.107"," 175/179 ","2.51","0","0.1","0.077","1.42","Q4","112","100"%,"25.1","18.1","112",
"FOLIA PRIMATOLOGICA","FOLIA PRIMATOL","0015-5713","1421-9980","ZOOLOGY - SCIE","1,617","1.38","Q3","0.69","5.62"%," 99/176 ","1.477","1.338","0.333"," 82/179 ","54.47","0.001","0.119","0.336","44.03","Q3","18","100"%,"23.2","15","18",
"EXPERIMENTAL ANIMALS","EXP ANIM TOKYO","1341-1357","1881-7122","ZOOLOGY - SCIE","1,599","1.798","Q2","0.95","93.57"%," 67/176 ","1.973","1.725","0.516"," 42/179 ","76.82","0.001","0.189","0.356","62.22","Q3","62","90.32"%,"9.2","9.1","56",
"Integrative Zoology","INTEGR ZOOL","1749-4877","1749-4869","ZOOLOGY - SCIE","1,579","2.083","Q2","1.14","17.02"%," 54/176 ","2.271","1.924","0.756"," 25/179 ","86.31","0.002","0.34","0.576","69.6","Q2","90","95.56"%,"6.5","10.9","86",
"ACTA ZOOLOGICA","ACTA ZOOL-STOCKHOLM","0001-7272","1463-6395","ZOOLOGY - SCIE","1,556","1.205","Q3","0.71","6.92"%," 109/176 ","1.247","1.134","0.532"," 79/179 ","56.15","0.001","0.135","0.294","38.35","Q3","47","91.49"%,"14.4","14.5","43",
"ZOOLOGICAL RESEARCH","ZOOL RES","2095-8137","N/A","ZOOLOGY - SCIE","1,545","6.975","Q1","2.2","98.82"%," 2/176 ","4.811","6.4","0.978"," 2/179 ","99.16","0.002","0.392","1.016","99.15","Q1","90","94.44"%,"3.9","9","85",
"INVERTEBRATE SYSTEMATICS","INVERTEBR SYST","1445-5226","1447-2600","ZOOLOGY - SCIE","1,384","2.364","Q1","0.99","3.77"%," 41/176 ","2.4","2.136","0.975"," 39/179 ","78.49","0.001","0.269","0.662","76.99","Q1","40","100"%,"8.3","12.5","40",
"TURKISH JOURNAL OF ZOOLOGY","TURK J ZOOL","1300-0179","1303-6114","ZOOLOGY - SCIE","1,280","0.932","Q4","0.45","0.54"%," 138/176 ","0.846","0.909","0.222"," 134/179 ","25.42","0.001","0.19","0.2","21.88","Q4","54","96.3"%,"7.9","10.9","52",
"ACTA CHIROPTEROLOGICA","ACTA CHIROPTEROL","1508-1109","1733-5329","ZOOLOGY - SCIE","1,244","1.145","Q3","0.62","0"%," 118/176 ","1.801","1.013","0.195"," 98/179 ","45.53","0.001","0.141","0.364","33.24","Q2","41","100"%,"9.9","11.8","41",
"ETHOLOGY ECOLOGY & EVOLUTION","ETHOL ECOL EVOL","0394-9370","1828-7131","ZOOLOGY - SCIE","1,220","1.14","Q3","0.52","3.29"%," 119/176 ","1.131","1.06","0.788"," 119/179 ","33.8","0.001","0.116","0.257","32.67","Q4","52","92.31"%,"11.8","13.6","48",
"JOURNAL OF MAMMALIAN EVOLUTION","J MAMM EVOL","1064-7554","1573-7055","ZOOLOGY - SCIE","1,185","2.412","Q1","1.16","11.05"%," 36/176 ","2.668","2.132","0.534"," 22/179 ","87.99","0.001","0.292","0.683","79.83","Q1","58","94.83"%,"6","14.9","55",
"HYSTRIX-Italian Journal of Mammalogy","HYSTRIX","0394-1914","1825-5272","ZOOLOGY - SCIE","1,174","1.796","Q2","0.82","0"%," 68/176 ","2.037","1.796","0.313"," 66/179 ","63.41","0.001","0.15","0.458","61.65","Q2","16","100"%,"8.1","11.7","16",
"ZOOMORPHOLOGY","ZOOMORPHOLOGY","0720-213X","1432-234X","ZOOLOGY - SCIE","1,171","1.138","Q3","0.69","22.13"%," 120/176 ","1.33","1.069","0.543"," 82/179 ","54.47","0.001","0.149","0.341","32.1","Q3","35","100"%,"12.2","14.7","35",
"CHELONIAN CONSERVATION AND BIOLOGY","CHELONIAN CONSERV BI","1071-8443","1943-3956","ZOOLOGY - SCIE","1,158","1.209","Q3","0.74","1.96"%," 108/176 ","1.548","1.134","0.171"," 77/179 ","57.26","0.001","0.119","0.352","38.92","Q3","35","97.14"%,"11.5","14","34",
"JOURNAL OF ETHOLOGY","J ETHOL","0289-0771","1439-5444","ZOOLOGY - SCIE","1,131","1.202","Q3","0.57","14.89"%," 110/176 ","1.51","1.141","0.286"," 109/179 ","39.39","0.001","0.165","0.39","37.78","Q2","42","100"%,"11","14.3","42",
"CYBIUM","CYBIUM","0399-0974","2101-0315","ZOOLOGY - SCIE","1,120","0.843","Q4","0.45","0"%," 146/176 ","0.921","0.629","0.167"," 134/179 ","25.42","0","0.087","0.212","17.33","Q4","36","86.11"%,"15.3","14.5","31",
"NEW ZEALAND JOURNAL OF ZOOLOGY","NEW ZEAL J ZOOL","0301-4223","1175-8821","ZOOLOGY - SCIE","1,115","0.877","Q4","0.5","2.6"%," 144/176 ","1.007","0.807","0.25"," 121/179 ","32.68","0","0.077","0.281","18.47","Q3","20","85"%,"21.4","10.8","17",
"ICHTHYOLOGICAL RESEARCH","ICHTHYOL RES","1341-8998","1616-3915","ZOOLOGY - SCIE","1,113","1.223","Q3","0.48","0.59"%," 106/176 ","1.162","1.058","0.521"," 126/179 ","29.89","0.001","0.175","0.317","40.06","Q3","48","91.67"%,"10.4","18.9","44",
"REVUE SUISSE DE ZOOLOGIE","REV SUISSE ZOOL","0035-418X","0035-418X","ZOOLOGY - SCIE","1,094","0.679","Q4","0.32","66.27"%," 158/176 ","0.763","0.554","0.222"," 153/179 ","14.8","0","0.062","0.226","10.51","Q4","27","96.3"%,"31","28.7","26",
"European Journal of Taxonomy","EUR J TAXON","N/A","2118-9773","ZOOLOGY - SCIE","1,090","1.398","Q3","0.6","96.19"%," 97/176 ","1.437","1.281","0.457"," 104/179 ","42.18","0.002","0.489","0.409","45.17","Q2","199","90.45"%,"3.5","18.6","180",
"BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING","BIOACOUSTICS","0952-4622","2165-0586","ZOOLOGY - SCIE","1,073","2.045","Q2","1.07","7.19"%," 55/176 ","2.222","1.847","0.548"," 31/179 ","82.96","0.001","0.215","0.602","69.03","Q1","42","95.24"%,"8.9","12","40",
"INVERTEBRATE BIOLOGY","INVERTEBR BIOL","1077-8306","1744-7410","ZOOLOGY - SCIE","1,049","1.583","Q2","0.61","6.86"%," 83/176 ","1.506","1.5","0.905"," 101/179 ","43.85","0.001","0.123","0.379","53.13","Q2","42","95.24"%,"12.3","14.6","40",
"LEARNING & BEHAVIOR","LEARN BEHAV","1543-4494","1543-4508","ZOOLOGY - SCIE","1,042","1.926","Q2","0.56","21.15"%," 60/176 ","2.078","1.809","0.306"," 111/179 ","38.27","0.001","0.232","0.636","66.19","Q1","36","94.44"%,"9.4","13.5","34",
"Zoologia","ZOOLOGIA-CURITIBA","1984-4689","1984-4689","ZOOLOGY - SCIE","1,031","0.859","Q4","0.44","97.92"%," 145/176 ","1.1","0.845","0.12"," 136/179 ","24.3","0.001","0.113","0.253","17.9","Q4","25","88"%,"9.1","14.9","22",
"Herpetological Conservation and Biology","HERPETOL CONSERV BIO","2151-0733","1931-7603","ZOOLOGY - SCIE","1,015","0.958","Q3","0.55","0"%," 132/176 ","1.239","0.915","0.061"," 112/179 ","37.71","0.001","0.181","0.289","25.28","Q3","66","100"%,"7.3","13.7","66",
"JOURNAL OF MEDICAL PRIMATOLOGY","J MED PRIMATOL","0047-2565","1600-0684","ZOOLOGY - SCIE","961","0.821","Q4","0.35","3.14"%," 148/176 ","0.745","0.726","0.151"," 149/179 ","17.04","0","0.08","0.152","16.19","Q4","53","94.34"%,"12.6","11.2","50",
"INVERTEBRATE REPRODUCTION & DEVELOPMENT","INVERTEBR REPROD DEV","0792-4259","2157-0272","ZOOLOGY - SCIE","947","1.167","Q3","0.42","2.41"%," 117/176 ","1.201","1.083","0.304"," 138/179 ","23.18","0","0.086","0.268","33.81","Q3","23","91.3"%,"14.8","21","21",
"HERPETOLOGICAL JOURNAL","HERPETOL J","0268-0130","0268-0130","ZOOLOGY - SCIE","942","1.194","Q3","0.55","2.3"%," 113/176 ","1.18","1.145","0.48"," 112/179 ","37.71","0","0.095","0.281","36.08","Q3","25","100"%,"12.4","12.3","25",
"WILDLIFE MONOGRAPHS","WILDLIFE MONOGR","0084-0173","1938-5455","ZOOLOGY - SCIE","926","5.4","Q1","1","62.5"%," 4/176 ","3.294","5","2"," 37/179 ","79.61","0","0.029","0.842","98.01","Q1","3","100"%,"28.3","15.2","3",
"MALACOLOGIA","MALACOLOGIA","0076-2997","2168-9075","ZOOLOGY - SCIE","854","0.88","Q4","0.53","0"%," 143/176 ","2.674","0.88","0.438"," 116/179 ","35.47","0","0.069","0.735","19.03","Q1","16","87.5"%,"19.2","21.4","14",
"HELMINTHOLOGIA","HELMINTHOLOGIA","0440-6605","1336-9083","ZOOLOGY - SCIE","841","1.176","Q3","0.46","97.79"%," 116/176 ","1.113","1.132","0.222"," 132/179 ","26.54","0","0.106","0.219","34.38","Q4","45","88.89"%,"9.2","12.5","40",
"FOLIA ZOOLOGICA","FOLIA ZOOL","0139-7893","1573-1189","ZOOLOGY - SCIE","840","1.542","Q2","0.53","100"%," 86/176 ","0.95","1.542","N/A"," 116/179 ","35.47","0","0.056","0.232","51.42","Q4","0","N/A","14.1","N/A","0",
"IHERINGIA SERIE ZOOLOGIA","IHERINGIA SER ZOOL","0073-4721","1678-4766","ZOOLOGY - SCIE","840","0.742","Q4","0.36","95.51"%," 153/176 ","0.765","0.71","0.074"," 147/179 ","18.16","0","0.084","0.187","13.35","Q4","27","100"%,"12","13.2","27",
"AUSTRALIAN MAMMALOGY","AUST MAMMAL","0310-0049","1836-7402","ZOOLOGY - SCIE","816","1.177","Q3","0.76","4.57"%," 115/176 ","1.274","0.977","0.289"," 74/179 ","58.94","0.001","0.13","0.266","34.94","Q3","45","93.33"%,"8.1","13.4","42",
"STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT","STUD NEOTROP FAUNA E","0165-0521","1744-5140","ZOOLOGY - SCIE","801","0.833","Q4","0.41","0"%," 147/176 ","0.989","0.792","0.197"," 141/179 ","21.51","0","0.083","0.23","16.76","Q4","61","98.36"%,"16.5","11.2","60",
"Veterinary Research Forum","VET RES FORUM","2008-8140","2322-3618","ZOOLOGY - SCIE","782","0.95","Q4","0.48","0"%," 134/176 ","1.295","0.933","0.15"," 126/179 ","29.89","0.001","0.116","0.198","24.15","Q4","80","100"%,"6.1","11.6","80",
"BOLETIM DO INSTITUTO DE PESCA","BOL INST PESCA","0046-9939","1678-2305","ZOOLOGY - SCIE","751","0.8","Q4","0.32","96.67"%," 150/176 ","0.974","0.737","0.08"," 153/179 ","14.8","0.001","0.164","0.263","15.06","Q3","25","100"%,"7.7","10.9","25",
"ZOOLOGY IN THE MIDDLE EAST","ZOOL MIDDLE EAST","0939-7140","2326-2680","ZOOLOGY - SCIE","716","0.944","Q4","0.48","1.54"%," 136/176 ","0.93","0.876","0.22"," 126/179 ","29.89","0.001","0.118","0.252","23.01","Q4","41","100"%,"9.9","12.6","41",
"AFRICAN ZOOLOGY","AFR ZOOL","1562-7020","2224-073X","ZOOLOGY - SCIE","712","1.39","Q3","0.67","2.25"%," 98/176 ","1.375","1.339","0.2"," 85/179 ","52.79","0","0.076","0.293","44.6","Q3","30","96.67"%,"9.7","12","29",
"Mammal Research","MAMMAL RES","2199-2401","2199-241X","ZOOLOGY - SCIE","709","2.026","Q2","0.96","24.88"%," 57/176 ","2.08","1.903","0.328"," 41/179 ","77.37","0.001","0.28","0.479","67.9","Q2","58","96.55"%,"3.2","12.1","56",
"ACTA ICHTHYOLOGICA ET PISCATORIA","ACTA ICHTHYOL PISCAT","0137-1592","1734-1515","ZOOLOGY - SCIE","708","0.913","Q4","0.39","95.81"%," 142/176 ","0.958","0.852","0.269"," 143/179 ","20.39","0.001","0.122","0.23","19.6","Q4","52","100"%,"8.2","12.9","52",
"URSUS","URSUS","1537-6176","1938-5439","ZOOLOGY - SCIE","676","1.219","Q3","0.53","0"%," 107/176 ","1.375","1.063","0.227"," 116/179 ","35.47","0","0.041","0.281","39.49","Q3","22","95.45"%,"13.1","12.3","21",
"ACTA ZOOLOGICA BULGARICA","ACTA ZOOL BULGAR","0324-0770","N/A","ZOOLOGY - SCIE","675","0.362","Q4","0.25","0"%," 172/176 ","0.497","0.317","0.051"," 163/179 ","9.22","0.001","0.118","0.099","2.56","Q4","79","97.47"%,"7.1","15.7","77",
"ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE","ACTA ZOOL ACAD SCI H","1217-8837","N/A","ZOOLOGY - SCIE","669","0.97","Q3","0.46","100"%," 131/176 ","0.84","0.894","0.292"," 132/179 ","26.54","0","0.049","0.193","25.85","Q4","24","100"%,"19.2","14.7","24",
"Animal Cells and Systems","ANIM CELLS SYST","1976-8354","2151-2485","ZOOLOGY - SCIE","663","2.398","Q1","0.66","100"%," 37/176 ","1.727","1.903","0.383"," 90/179 ","50","0.001","0.136","0.268","79.26","Q3","47","100"%,"3.9","8.5","47",
"ANIMAL BIOLOGY","ANIM BIOL","1570-7555","1570-7563","ZOOLOGY - SCIE","661","1.227","Q3","0.71","11.83"%," 105/176 ","1.285","1.152","0.889"," 79/179 ","56.15","0","0.081","0.265","40.63","Q3","27","100"%,"9.6","12","27",
"RECORDS OF THE AUSTRALIAN MUSEUM","REC AUST MUS","0067-1975","0067-1975","ZOOLOGY - SCIE","647","0.4","Q4","0.26","93.48"%," 168/176 ","0.632","0.371","0.091"," 162/179 ","9.78","0","0.027","0.197","4.83","Q4","11","90.91"%,"30.1","22.7","10",
"ISJ-Invertebrate Survival Journal","ISJ-INVERT SURVIV J","1824-307X","N/A","ZOOLOGY - SCIE","641","0.917","Q4","0.3","0"%," 140/176 ","1.263","0.861","0.154"," 157/179 ","12.57","0","0.07","0.215","20.74","Q4","13","100"%,"9.2","10","13",
"ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS","ICHTHYOL EXPLOR FRES","0936-9902","N/A","ZOOLOGY - SCIE","624","1.346","Q3","0.33","0"%," 100/176 ","1.284","1.308","0.786"," 152/179 ","15.36","0","0.06","0.31","43.47","Q3","14","100"%,"13.1","16.7","14",
"ACTA ETHOLOGICA","ACTA ETHOL","0873-9749","1437-9546","ZOOLOGY - SCIE","618","1.298","Q3","0.49","14.67"%," 102/176 ","1.423","1.277","0.5"," 122/179 ","32.12","0","0.099","0.375","42.33","Q2","28","96.43"%,"8.1","14.1","27",
"AMERICAN MALACOLOGICAL BULLETIN","AM MALACOL BULL","0740-2783","2162-2698","ZOOLOGY - SCIE","601","0.313","Q4","0.32","0"%," 175/176 ","1.011","0.313","0.111"," 153/179 ","14.8","0","0.052","0.277","0.85","Q3","9","100"%,"12.8","16.4","9",
"CONTRIBUTIONS TO ZOOLOGY","CONTRIB ZOOL","1383-4517","1875-9866","ZOOLOGY - SCIE","591","2.75","Q1","1.21","97.78"%," 26/176 ","2.271","2.688","1.462"," 18/179 ","90.22","0","0.103","0.598","85.51","Q1","13","84.62"%,"8.6","16.2","11",
"SALAMANDRA","SALAMANDRA","0036-3375","N/A","ZOOLOGY - SCIE","579","1.765","Q2","0.84","0"%," 71/176 ","1.775","1.706","0.304"," 62/179 ","65.64","0.001","0.135","0.482","59.94","Q2","46","97.83"%,"6.9","13.8","45",
"ZOOSYSTEMA","ZOOSYSTEMA","1280-9551","1638-9387","ZOOLOGY - SCIE","575","1.737","Q2","0.76","0"%," 72/176 ","1.313","1.298","0.375"," 74/179 ","58.94","0","0.086","0.317","59.38","Q3","32","93.75"%,"11.5","18.7","30",
"South American Journal of Herpetology","S AM J HERPETOL","1808-9798","N/A","ZOOLOGY - SCIE","562","1.414","Q3","0.79","0"%," 96/176 ","1.74","1.362","0.1"," 69/179 ","61.73","0.001","0.122","0.46","45.74","Q2","30","100"%,"7.5","19.8","30",
"Comparative Cytogenetics","COMP CYTOGENET","1993-0771","1993-078X","ZOOLOGY - SCIE","553","1.182","Q3","0.49","97.96"%," 114/176 ","1.558","0.909","0.25"," 122/179 ","32.12","0.001","0.128","0.319","35.51","Q3","32","90.63"%,"5.5","15.8","29",
"RUSSIAN JOURNAL OF HERPETOLOGY","RUSS J HERPETOL","1026-2296","1026-2296","ZOOLOGY - SCIE","524","0.632","Q4","0.29","0"%," 163/176 ","0.615","0.483","0.326"," 158/179 ","12.01","0","0.054","0.128","7.67","Q4","43","100"%,"10.1","14","43",
"ANNALS OF CARNEGIE MUSEUM","ANN CARNEGIE MUS","0097-4463","1943-6300","ZOOLOGY - SCIE","520","1.722","Q2","0.63","0"%," 75/176 ","1.265","1.5","0.143"," 96/179 ","46.65","0","0.03","0.306","57.67","Q3","7","100"%,"20.3","36.7","7",
"CALDASIA","CALDASIA","0366-5232","2357-3759","ZOOLOGY - SCIE","517","0.487","Q4","0.2","98.31"%," 166/176 ","0.601","0.474","0.333"," 172/179 ","4.19","0","0.038","0.118","5.97","Q4","42","100"%,"13","13.3","42",
"CALIFORNIA FISH AND GAME","CALIF FISH GAME","0008-1078","2331-0405","ZOOLOGY - SCIE","517","0.65","Q4","0.22","47.67"%," 161/176 ","0.651","0.475","0"," 170/179 ","5.31","0","0.025","0.143","8.81","Q4","46","91.3"%,"27.5","13.3","42",
"Zoological Letters","ZOOL LETT","2056-306X","2056-306X","ZOOLOGY - SCIE","501","3.157","Q1","1.44","100"%," 15/176 ","3.023","3.078","0.563"," 10/179 ","94.69","0.001","0.237","0.907","91.76","Q1","16","93.75"%,"3.9","12.7","15",
"NEMATROPICA","NEMATROPICA","0099-5444","2220-5608","ZOOLOGY - SCIE","497","0.347","Q4","0.23","0"%," 173/176 ","0.65","0.306","0.167"," 166/179 ","7.54","0","0.03","0.119","1.99","Q4","12","100"%,"14.5","14.5","12",
"REDIA-GIORNALE DI ZOOLOGIA","REDIA","0370-4327","0370-4327","ZOOLOGY - SCIE","496","0.25","Q4","0.25","93.75"%," 176/176 ","0.573","0.25","N/A"," 163/179 ","9.22","0","0.025","0.094","0.28","Q4","N/A","N/A","37","N/A","N/A",
"MAMMAL STUDY","MAMM STUDY","1343-4152","1348-6160","ZOOLOGY - SCIE","492","0.723","Q4","0.37","0"%," 155/176 ","0.917","0.662","0.406"," 145/179 ","19.27","0","0.069","0.218","12.22","Q4","32","93.75"%,"9.4","12.5","30",
"COMPARATIVE PARASITOLOGY","COMP PARASITOL","1525-2647","1938-2952","ZOOLOGY - SCIE","481","0.653","Q4","0.23","0"%," 160/176 ","0.621","0.408","0.065"," 166/179 ","7.54","0","0.042","0.136","9.38","Q4","31","100"%,"11.7","20.6","31",
"NAUTILUS","NAUTILUS","0028-1344","0028-1344","ZOOLOGY - SCIE","474","0.917","Q4","0.19","0"%," 140/176 ","1.039","0.917","0.667"," 173/179 ","3.63","0","0.067","0.434","20.74","Q2","3","100"%,"26.9","37.5","3",
"North-Western Journal of Zoology","NORTH-WEST J ZOOL","1584-9074","1842-6441","ZOOLOGY - SCIE","471","0.778","Q4","0.35","0"%," 151/176 ","0.776","0.722","0.122"," 149/179 ","17.04","0","0.064","0.173","14.49","Q4","41","95.12"%,"7.7","13.4","39",
"ACTA BIOLOGICA COLOMBIANA","ACTA BIOL COLOMB","1900-1649","1900-1649","ZOOLOGY - SCIE","450","0.676","Q4","0.19","99.35"%," 159/176 ","0.654","0.618","0.176"," 173/179 ","3.63","0","0.064","0.131","9.94","Q4","51","88.24"%,"6.5","10.7","45",
"HERPETOLOGICAL MONOGRAPHS","HERPETOL MONOGR","0733-1347","1938-5137","ZOOLOGY - SCIE","448","2.909","Q1","1.09","0"%," 21/176 ","2.552","2.909","0.167"," 30/179 ","83.52","0","0.044","0.745","88.35","Q1","6","83.33"%,"16.8","21.3","5",
"Asian Herpetological Research","ASIAN HERPETOL RES","2095-0357","2095-0357","ZOOLOGY - SCIE","419","1.516","Q2","0.71","0"%," 88/176 ","1.335","1.281","0.4"," 79/179 ","56.15","0","0.097","0.301","50.28","Q3","35","94.29"%,"5.4","12.4","33",
"Nauplius","NAUPLIUS","0104-6497","2358-2936","ZOOLOGY - SCIE","410","0.642","Q4","0.27","94.87"%," 162/176 ","1","0.582","0.18"," 160/179 ","10.89","0","0.091","0.265","8.24","Q3","50","98"%,"6.7","18.2","49",
"BELGIAN JOURNAL OF ZOOLOGY","BELG J ZOOL","0777-6276","2295-0451","ZOOLOGY - SCIE","409","1.059","Q3","0.61","100"%," 126/176 ","0.964","1","0"," 101/179 ","43.85","0","0.024","0.208","28.69","Q4","12","100"%,"16.3","10.3","12",
"European Zoological Journal","EUR ZOOL J","2475-0263","2475-0263","ZOOLOGY - SCIE","401","1.699","Q2","0.9","100"%," 77/176 ","1.792","1.65","0.554"," 53/179 ","70.67","0.001","0.158","0.394","56.53","Q2","83","100"%,"2.8","13.2","83",
"TROPICAL ZOOLOGY","TROP ZOOL","0394-6975","1970-9528","ZOOLOGY - SCIE","377","1.077","Q3","0.51","48.39"%," 123/176 ","0.836","1.077","0"," 120/179 ","33.24","0","0.029","0.216","30.4","Q4","5","100"%,"17.4","12.7","5",
"Zoosystematics and Evolution","ZOOSYST EVOL","1860-0743","1860-0743","ZOOLOGY - SCIE","369","1.647","Q2","0.89","98.96"%," 80/176 ","1.327","1.603","0.75"," 55/179 ","69.55","0.001","0.114","0.381","54.83","Q2","28","96.43"%,"4.2","14.4","27",
"Acta Herpetologica","ACTA HERPETOL","1827-9635","1827-9643","ZOOLOGY - SCIE","364","1.075","Q3","0.48","11.32"%," 124/176 ","1.168","1","0.077"," 126/179 ","29.89","0","0.069","0.285","29.83","Q3","13","100"%,"7.6","12.5","13",
"Vertebrate Zoology","VERTEBR ZOOL","1864-5755","N/A","ZOOLOGY - SCIE","353","1.879","Q2","1.05","39.18"%," 63/176 ","1.647","1.603","0.872"," 34/179 ","81.28","0.001","0.108","0.446","64.49","Q2","39","94.87"%,"4","12.5","37",
"MOLLUSCAN RESEARCH","MOLLUSCAN RES","1323-5818","1448-6067","ZOOLOGY - SCIE","349","0.803","Q4","0.42","0.97"%," 149/176 ","0.848","0.737","0.37"," 138/179 ","23.18","0","0.066","0.198","15.63","Q4","27","100"%,"7.8","19","27",
"HERPETOZOA","HERPETOZOA","1013-4425","1013-4425","ZOOLOGY - SCIE","344","1.053","Q3","0.47","87.04"%," 127/176 ","1.179","0.934","0.344"," 131/179 ","27.09","0","0.07","0.296","28.13","Q3","32","96.88"%,"7.4","12.7","31",
"GAYANA","GAYANA","0717-6538","0717-6538","ZOOLOGY - SCIE","335","0.941","Q4","0.25","20.83"%," 137/176 ","0.753","0.824","0.071"," 163/179 ","9.22","0","0.039","0.228","22.44","Q4","14","85.71"%,"13.4","13.1","12",
"SPIXIANA","SPIXIANA","0341-8391","N/A","ZOOLOGY - SCIE","335","0.391","Q4","0.16","0"%," 170/176 ","0.513","0.348","0.167"," 177/179 ","1.4","0","0.035","0.144","3.69","Q4","18","100"%,"13.5","12.2","18",
"AFRICAN JOURNAL OF HERPETOLOGY","AFR J HERPETOL","2156-4574","2153-3660","ZOOLOGY - SCIE","314","2.563","Q1","0.78","0"%," 33/176 ","2","1.813","0.2"," 71/179 ","60.61","0","0.031","0.326","81.53","Q3","15","100"%,"8.9","11.7","15",
"Integrative Organismal Biology","INTEGR ORGANISM BIOL","N/A","2517-4843","ZOOLOGY - SCIE","298","3.207","Q1","0.82","98.37"%," 12/176 ","3.207","3.172","0.472"," 66/179 ","63.41","0.001","0.175","0.993","93.47","Q1","36","97.22"%,"2.2","13.9","35",
"AMPHIBIAN & REPTILE CONSERVATION","AMPHIB REPTILE CONSE","1083-446X","N/A","ZOOLOGY - SCIE","293","1.309","Q3","0.63","0"%," 101/176 ","1.27","1.227","0.13"," 96/179 ","46.65","0","0.096","0.336","42.9","Q3","23","100"%,"4","13.7","23",
"JOURNAL OF CONCHOLOGY","J CONCHOL","0022-0019","N/A","ZOOLOGY - SCIE","289","0.588","Q4","0.18","0"%," 164/176 ","0.632","0.559","0.308"," 175/179 ","2.51","0","0.034","0.176","7.1","Q4","13","100"%,"15.6","18.9","13",
"CURRENT HERPETOLOGY","CURR HERPETOL","1345-5834","1881-1019","ZOOLOGY - SCIE","262","0.737","Q4","0.37","0"%," 154/176 ","0.694","0.632","0.474"," 145/179 ","19.27","0","0.033","0.168","12.78","Q4","19","100"%,"8.7","16.5","19",
"AFRICAN INVERTEBRATES","AFR INVERTEBR","1681-5556","2305-2562","ZOOLOGY - SCIE","260","0.696","Q4","0.28","97.44"%," 156/176 ","0.667","0.565","0.5"," 159/179 ","11.45","0","0.016","0.148","11.65","Q4","16","100"%,"10.1","24.2","16",
"PHYLLOMEDUSA","PHYLLOMEDUSA","1519-1397","2316-9079","ZOOLOGY - SCIE","251","0.508","Q4","0.21","94.05"%," 165/176 ","0.549","0.441","0.12"," 171/179 ","4.75","0","0.037","0.128","6.53","Q4","25","100"%,"10.9","12.4","25",
"Subterranean Biology","SUBTERR BIOL","1768-1448","1314-2615","ZOOLOGY - SCIE","230","1.021","Q3","0.54","100"%," 130/176 ","N/A","0.917","0.303"," 115/179 ","36.03","0","0.061","N/A","26.42","N/A","33","100"%,"4.9","15.1","33",
"RUSSIAN JOURNAL OF NEMATOLOGY","RUSS J NEMATOL","0869-6918","0869-6918","ZOOLOGY - SCIE","202","0.393","Q4","0.23","0"%," 169/176 ","0.368","0.321","0"," 166/179 ","7.54","0","0.008","0.055","4.26","Q4","14","100"%,"14.1","16.6","14",
