"Journal Data Filtered By:  Selected Categories: ZOOLOGY Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"COPEIA","COPEIA","0045-8511","1938-5110","ZOOLOGY - SCIE","7,086","1.857","Q2","0.94","0"%," 65/176 ","1.525","1.857","N/A"," 44/179 ","75.7","0.001","0.303","0.408","63.35","Q2","0","N/A","27.7","N/A","0",
"JOURNAL OF THERMAL BIOLOGY","J THERM BIOL","0306-4565","1879-0992","ZOOLOGY - SCIE","7,084","3.189","Q1","1.11","4.38"%," 13/176 ","3.342","2.804","0.772"," 28/179 ","84.64","0.006","1.217","0.595","92.9","Q1","263","97.72"%,"5.9","10.8","257",
"AMERICAN JOURNAL OF PRIMATOLOGY","AM J PRIMATOL","0275-2565","1098-2345","ZOOLOGY - SCIE","6,090","3.014","Q1","1.19","13.31"%," 19/176 ","2.904","2.716","0.759"," 20/179 ","89.11","0.004","0.87","0.805","89.49","Q1","108","87.96"%,"11.1","11.7","95",
"BEHAVIOURAL PROCESSES","BEHAV PROCESS","0376-6357","1872-8308","ZOOLOGY - SCIE","5,969","1.729","Q2","0.69","6.19"%," 73/176 ","2.039","1.629","0.348"," 82/179 ","54.47","0.005","1.028","0.519","58.81","Q2","158","98.73"%,"8.5","13","156",
"BEHAVIOUR","BEHAVIOUR","0005-7959","1568-539X","ZOOLOGY - SCIE","5,926","1.672","Q2","0.62","16.86"%," 78/176 ","1.773","1.638","0.446"," 98/179 ","45.53","0.001","0.313","0.507","55.97","Q2","56","91.07"%,"21.9","13.1","51",
"JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY","J COMP PHYSIOL A","0340-7594","1432-1351","ZOOLOGY - SCIE","5,751","2.389","Q1","0.67","28.16"%," 39/176 ","2.344","2.229","0.887"," 85/179 ","52.79","0.002","0.515","0.671","78.13","Q1","62","83.87"%,"17","15.1","52",
"MARINE MAMMAL SCIENCE","MAR MAMMAL SCI","0824-0469","1748-7692","ZOOLOGY - SCIE","5,255","2.337","Q1","0.89","11.08"%," 42/176 ","2.581","2.125","0.546"," 55/179 ","69.55","0.003","0.57","0.64","76.42","Q1","108","98.15"%,"12.3","13.3","106",
"ETHOLOGY","ETHOLOGY","0179-1613","1439-0310","ZOOLOGY - SCIE","5,236","1.857","Q2","0.65","16.86"%," 65/176 ","1.845","1.755","0.607"," 92/179 ","48.88","0.003","0.536","0.499","63.35","Q2","107","93.46"%,"12.9","12","100",
"Journal of Comparative Physiology B-Biochemical Systems and Environmental Physiology","J COMP PHYSIOL B","0174-1578","1432-136X","ZOOLOGY - SCIE","5,041","2.23","Q2","0.9","13.9"%," 50/176 ","2.656","2.096","0.83"," 53/179 ","70.67","0.002","0.437","0.56","71.88","Q2","88","96.59"%,"11.6","14.1","85",
"REPRODUCTION FERTILITY AND DEVELOPMENT","REPROD FERT DEVELOP","1031-3613","1448-5990","ZOOLOGY - SCIE","4,908","1.973","Q2","0.77","8.91"%," 59/176 ","2.124","1.875","0.588"," 73/179 ","59.5","0.003","0.687","0.384","66.76","Q2","97","81.44"%,"8.1","9.5","79",
"CLADISTICS","CLADISTICS","0748-3007","1096-0031","ZOOLOGY - SCIE","4,808","4.714","Q1","1.91","10.26"%," 6/176 ","7.107","4.405","0.697"," 5/179 ","97.49","0.004","0.814","2.145","96.88","Q1","33","100"%,"11.4","11.2","33",
"ANIMAL COGNITION","ANIM COGN","1435-9448","1435-9456","ZOOLOGY - SCIE","4,495","2.899","Q1","1.22","28.29"%," 23/176 ","3.041","2.531","0.674"," 16/179 ","91.34","0.004","0.771","0.741","87.22","Q1","129","90.7"%,"7.5","11.1","117",
"JOURNAL OF NATURAL HISTORY","J NAT HIST","0022-2933","1464-5262","ZOOLOGY - SCIE","4,133","0.947","Q4","0.35","3.34"%," 135/176 ","1.023","0.911","0.083"," 149/179 ","17.04","0.002","0.412","0.278","23.58","Q3","145","93.1"%,"15.5","17","135",
"JOURNAL OF HERPETOLOGY","J HERPETOL","0022-1511","1937-2418","ZOOLOGY - SCIE","4,089","1.43","Q3","0.75","0.65"%," 95/176 ","1.42","1.41","0.132"," 76/179 ","57.82","0.001","0.256","0.387","46.31","Q2","53","100"%,"18.9","15.2","53",
"WILDLIFE RESEARCH","WILDLIFE RES","1035-3712","1448-5494","ZOOLOGY - SCIE","4,014","2.178","Q2","0.93","12.1"%," 52/176 ","2.483","1.935","0.392"," 47/179 ","74.02","0.002","0.4","0.529","70.74","Q2","79","96.2"%,"11.6","10","76",
"INTERNATIONAL JOURNAL OF PRIMATOLOGY","INT J PRIMATOL","0164-0291","1573-8604","ZOOLOGY - SCIE","3,818","2.578","Q1","1.41","23.53"%," 32/176 ","2.735","2.313","0.4"," 11/179 ","94.13","0.002","0.368","0.762","82.1","Q1","70","98.57"%,"14.3","11","69",
"PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY","PHYSIOL BIOCHEM ZOOL","1522-2152","1537-5293","ZOOLOGY - SCIE","3,738","2.322","Q1","0.91","0"%," 43/176 ","2.624","2.253","0.387"," 52/179 ","71.23","0.002","0.336","0.699","75.85","Q1","31","100"%,"12.6","12.3","31",
"JOURNAL OF NEMATOLOGY","J NEMATOL","0022-300X","2640-396X","ZOOLOGY - SCIE","3,599","1.481","Q3","0.67","96.86"%," 92/176 ","1.808","1.222","0.245"," 85/179 ","52.79","0.001","0.218","0.308","48.01","Q3","106","98.11"%,"19.4","14.6","104",
"JOURNAL OF COMPARATIVE PSYCHOLOGY","J COMP PSYCHOL","0735-7036","1939-2087","ZOOLOGY - SCIE","3,243","2.318","Q2","0.86","0"%," 45/176 ","2.144","2.114","0.831"," 60/179 ","66.76","0.001","0.238","0.563","74.72","Q2","59","100"%,"16.9","12","59",
"JOURNAL OF CRUSTACEAN BIOLOGY","J CRUSTACEAN BIOL","0278-0372","1937-240X","ZOOLOGY - SCIE","3,230","1.29","Q3","0.6","7.03"%," 103/176 ","1.455","1.137","0.384"," 104/179 ","42.18","0.001","0.305","0.334","41.76","Q3","73","94.52"%,"15.1","18.3","69",
"HERPETOLOGICA","HERPETOLOGICA","0018-0831","1938-5099","ZOOLOGY - SCIE","3,223","2.653","Q1","1.33","0"%," 30/176 ","2.237","2.627","0.31"," 13/179 ","93.02","0.001","0.229","0.593","83.24","Q2","29","100"%,"25.3","13.8","29",
"Frontiers in Zoology","FRONT ZOOL","1742-9994","1742-9994","ZOOLOGY - SCIE","3,196","3.3","Q1","1.61","99.29"%," 11/176 ","4.126","3.263","0.541"," 7/179 ","96.37","0.003","0.557","1.149","94.03","Q1","61","93.44"%,"7.9","12.7","57",
"MAMMAL REVIEW","MAMMAL REV","0305-1838","1365-2907","ZOOLOGY - SCIE","3,156","5.373","Q1","1.23","20.8"%," 5/176 ","5.475","5.205","1.119"," 15/179 ","91.9","0.002","0.435","1.322","97.44","Q1","42","7.14"%,"10.5","10.3","3",
"EUROPEAN JOURNAL OF WILDLIFE RESEARCH","EUR J WILDLIFE RES","1612-4642","1439-0574","ZOOLOGY - SCIE","3,114","2.249","Q2","0.79","24.16"%," 48/176 ","2.326","2.112","0.436"," 69/179 ","61.73","0.002","0.466","0.495","73.01","Q2","101","99.01"%,"8","11.1","100",
"ZOOLOGICA SCRIPTA","ZOOL SCR","0300-3256","1463-6409","ZOOLOGY - SCIE","3,041","3.185","Q1","1.17","11.63"%," 14/176 ","3.209","3.024","0.729"," 21/179 ","88.55","0.002","0.506","0.843","92.33","Q1","48","100"%,"9.6","12.2","48",
"ANIMAL WELFARE","ANIM WELFARE","0962-7286","N/A","ZOOLOGY - SCIE","2,997","2.293","Q2","1.1","4.76"%," 46/176 ","2.444","2.22","0.455"," 29/179 ","84.08","0.001","0.169","0.406","74.15","Q2","44","97.73"%,"12.1","9.6","43",
"AMERICAN MUSEUM NOVITATES","AM MUS NOVIT","0003-0082","1937-352X","ZOOLOGY - SCIE","2,912","1.727","Q2","0.67","0"%," 74/176 ","2.13","1.614","0.429"," 85/179 ","52.79","0.001","0.157","0.671","58.24","Q1","21","100"%,"26.6","15.5","21",
