"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'OCEANOGRAPHY' Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
32,MARINE AND FRESHWATER RESEARCH,MAR FRESHWATER RES,1323-1650,"5,121",1.859,1.728,1.926,0.670,188,9.1,11.4,0.005200,0.539,98.94,55.890,0.61875
33,BULLETIN OF MARINE SCIENCE,B MAR SCI,0007-4977,"5,116",1.742,1.720,2.095,0.850,80,21.1,12.1,0.002010,0.688,100.00,53.388,0.23970
34,Journal of Marine Science and Engineering,J MAR SCI ENG,****-****,499,1.732,1.444,Not Available,0.468,154,2.5,8.6,0.001320,Not Available,97.40,49.242,0.15679
35,Journal of Operational Oceanography,J OPER OCEANOGR,1755-876X,319,1.717,1.391,2.620,0.250,12,3.6,6.9,0.001040,0.859,100.00,40.433,0.12401
36,JOURNAL OF SEA RESEARCH,J SEA RES,1385-1101,"3,458",1.704,1.545,2.222,0.481,108,7.7,11.5,0.004900,0.615,100.00,49.726,0.58269
37,ENVIRONMENTAL FLUID MECHANICS,ENVIRON FLUID MECH,1567-7419,"1,027",1.605,1.487,1.782,0.493,67,5.9,12.3,0.001880,0.527,100.00,35.191,0.22398
38,JOURNAL OF NAVIGATION,J NAVIGATION,0373-4633,"1,747",1.506,1.313,1.875,0.462,91,7.7,7.4,0.001690,0.357,98.90,55.519,0.20173
39,NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,NEW ZEAL J MAR FRESH,0028-8330,"1,959",1.500,1.329,1.404,0.750,40,17.1,9.4,0.000920,0.373,92.50,43.875,0.11015
40,MARINE GEOPHYSICAL RESEARCH,MAR GEOPHYS RES,0025-3235,"1,145",1.471,1.314,1.554,2.455,33,13.9,11.3,0.000900,0.528,100.00,38.826,0.10778
41,DYNAMICS OF ATMOSPHERES AND OCEANS,DYNAM ATMOS OCEANS,0377-0265,968,1.405,1.316,1.552,0.303,33,10.5,11.7,0.001250,0.664,100.00,29.790,0.14904
42,HELGOLAND MARINE RESEARCH,HELGOLAND MAR RES,1438-387X,"1,592",1.208,1.146,1.560,0.222,18,14.4,15.2,0.001140,0.455,94.44,36.385,0.13625
43,ATMOSPHERE-OCEAN,ATMOS OCEAN,0705-5900,"1,252",1.167,1.111,1.687,0.407,27,15.2,9.1,0.001350,0.630,96.30,25.652,0.16107
44,MARINE GEORESOURCES & GEOTECHNOLOGY,MAR GEORESOUR GEOTEC,1064-119X,761,1.166,0.930,1.287,0.656,93,3.9,12.1,0.000960,0.241,100.00,35.590,0.11442
45,POLAR RESEARCH,POLAR RES,0800-0395,"1,607",1.152,1.076,1.797,0.209,43,11.1,10.9,0.001610,0.591,100.00,25.061,0.19197
46,MARINE TECHNOLOGY SOCIETY JOURNAL,MAR TECHNOL SOC J,0025-3324,979,1.070,0.980,0.993,0.254,63,9.0,5.2,0.000780,0.208,98.41,31.602,0.09286
47,MARINE GEODESY,MAR GEOD,0149-0419,"1,042",0.962,0.698,1.598,0.281,32,8.9,10.0,0.000830,0.372,100.00,16.872,0.09859
48,BRAZILIAN JOURNAL OF OCEANOGRAPHY,BRAZ J OCEANOGR,1679-8759,693,0.926,0.830,1.101,0.111,27,8.0,14.4,0.000680,0.262,100.00,28.136,0.08132
49,OCEANOLOGY,OCEANOLOGY+,0001-4370,"1,366",0.892,0.715,0.975,0.097,93,9.2,14.1,0.001250,0.216,98.92,26.515,0.14886
50,IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,IZV ATMOS OCEAN PHY+,0001-4338,"1,197",0.757,0.452,0.801,0.084,166,8.0,12.8,0.001190,0.165,99.40,17.442,0.14192
51,CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,CHIN J OCEANOL LIMN,0254-4059,"1,490",0.741,0.741,0.907,Not Available,0,6.7,Not Available,0.002070,0.218,Not Available,17.695,0.24647
52,ACTA ADRIATICA,ACTA ADRIAT,0001-5113,420,0.714,0.683,0.890,0.042,24,10.6,14.9,0.000360,0.216,95.83,17.698,0.04309
53,Plankton & Benthos Research,PLANKTON BENTHOS RES,1880-8247,271,0.700,0.580,Not Available,0.208,24,8.3,13.9,0.000330,Not Available,95.83,16.477,0.03999
54,ACTA OCEANOLOGICA SINICA,ACTA OCEANOL SIN,0253-505X,"1,668",0.699,0.630,0.893,0.360,186,6.1,12.9,0.002360,0.210,100.00,18.939,0.28101
54,Journal of Ocean University of China,J OCEAN U CHINA,1672-5182,988,0.699,0.642,0.822,0.236,161,5.3,11.5,0.001560,0.185,99.38,18.939,0.18590
56,OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,OCEANOL HYDROBIOL ST,1730-413X,494,0.674,0.621,0.854,0.175,40,6.8,14.7,0.000600,0.181,97.50,15.909,0.07171
57,JOURNAL OF MARINE RESEARCH,J MAR RES,0022-2402,"2,744",0.600,0.575,1.090,0.250,4,27.4,22.8,0.000490,0.419,100.00,14.394,0.05844
58,THALASSAS,THALASSAS,0212-5919,159,0.576,0.455,0.640,0.277,47,7.6,15.3,0.000150,0.152,97.87,11.301,0.01791
59,TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,TERR ATMOS OCEAN SCI,1017-0839,974,0.570,0.551,0.682,0.490,49,10.0,13.8,0.001040,0.214,97.96,7.100,0.12380
60,Journal of Southern Hemisphere Earth Systems Science,J SO HEMISPH EARTH,1836-716X,19,0.543,0.543,0.543,Not Available,0,Not Available,Not Available,0.000100,0.235,Not Available,6.378,0.01291
61,Ocean Science Journal,OCEAN SCI J,1738-5261,466,0.514,0.514,0.875,0.066,61,6.1,12.9,0.000690,0.207,98.36,8.102,0.08295
62,REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA,REV BIOL MAR OCEANOG,0717-3326,583,0.455,0.433,0.574,0.018,55,8.3,12.9,0.000590,0.145,94.55,5.029,0.07065
63,Indian Journal of Geo-Marine Sciences,INDIAN J GEO-MAR SCI,0379-5136,681,0.301,0.265,0.422,0.048,314,4.4,14.4,0.001220,0.078,95.86,5.303,0.14570
64,NAVAL ENGINEERS JOURNAL,NAV ENG J,0028-1425,296,0.246,0.232,0.327,0.028,36,14.3,8.8,0.000150,0.073,97.22,3.337,0.01891
65,Journal of Oceanology and Limnology,J OCEANOL LIMNOL,2096-5508,81,Not Available,0.000,Not Available,0.345,206,Not Available,11.6,0.000000,Not Available,99.51,2.327,0.00050
65,Paleoceanography and Paleoclimatology,PALEOCEANOGR PALEOCL,2572-4517,53,Not Available,0.000,Not Available,0.517,89,Not Available,11.1,0.000010,Not Available,100.00,1.305,0.00174
Copyright © 2019 Clarivate Analytics,,,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,,,
