"Journal Data Filtered By:  Selected Categories: OCEANOGRAPHY Selected Editions: SCIE Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index
"OCEAN DYNAMICS","OCEAN DYNAM","1616-7341","1616-7228","OCEANOGRAPHY - SCIE","3,264","2.3","Q2","0.83","20.2"%," 30/63 ","2.2","Q3","2.3","0.2",
"JOURNAL OF OCEANOGRAPHY","J OCEANOGR","0916-8370","1573-868X","OCEANOGRAPHY - SCIE","2,993","2.3","Q2","0.65","25.53"%," 30/63 ","2","Q3","2","0.5",
"TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY","TELLUS A","N/A","1600-0870","OCEANOGRAPHY - SCIE","2,925","2","Q3","0.54","96.4"%," 37/63 ","2.1","Q3","1.9","0.5",
"JOURNAL OF NAVIGATION","J NAVIGATION","0373-4633","1469-7785","OCEANOGRAPHY - SCIE","2,905","2.4","Q2","0.92","11.44"%," 28/63 ","2.5","Q2","2.3","0.9",
"JOURNAL OF MARINE RESEARCH","J MAR RES","0022-2402","1543-9542","OCEANOGRAPHY - SCIE","2,542","0.5","Q4","0.22","0"%," 60/63 ","1.2","Q4","0.5","N/A",
"FISHERIES OCEANOGRAPHY","FISH OCEANOGR","1054-6006","1365-2419","OCEANOGRAPHY - SCIE","2,314","2.6","Q2","0.81","17.65"%," 26/63 ","2.7","Q2","2.4","0.4",
"MARINE GEORESOURCES & GEOTECHNOLOGY","MAR GEORESOUR GEOTEC","1064-119X","1521-0618","OCEANOGRAPHY - SCIE","2,304","2.2","Q3","0.68","0.63"%," 33/63 ","2.3","Q3","1.9","0.3",
"Journal of Ocean University of China","J OCEAN U CHINA","1672-5182","1993-5021","OCEANOGRAPHY - SCIE","2,171","1.6","Q3","0.4","0"%," 42/63 ","1.5","Q4","1.5","0.3",
"NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH","NEW ZEAL J MAR FRESH","0028-8330","1175-8805","OCEANOGRAPHY - SCIE","2,091","1.6","Q3","0.48","6.8"%," 42/63 ","1.7","Q3","1.4","0.8",
"GEO-MARINE LETTERS","GEO-MAR LETT","0276-0460","1432-1157","OCEANOGRAPHY - SCIE","2,005","2.1","Q3","0.56","19.86"%," 35/63 ","1.9","Q3","2.1","0.3",
"Paleoceanography and Paleoclimatology","PALEOCEANOGR PALEOCL","2572-4517","2572-4525","OCEANOGRAPHY - SCIE","1,919","3.5","Q1","1.23","28.92"%," 11/63 ","3.8","Q1","3.1","0.8",
"ENVIRONMENTAL FLUID MECHANICS","ENVIRON FLUID MECH","1567-7419","1573-1510","OCEANOGRAPHY - SCIE","1,850","2.2","Q3","0.58","20.1"%," 33/63 ","2.3","Q3","2","0.7",
"POLAR RESEARCH","POLAR RES-SWEDEN","0800-0395","1751-8369","OCEANOGRAPHY - SCIE","1,770","1.9","Q3","0.45","100"%," 39/63 ","1.9","Q3","1.8","0.6",
"OCEANOLOGIA","OCEANOLOGIA","0078-3234","2300-7370","OCEANOGRAPHY - SCIE","1,527","2.9","Q2","0.88","95.86"%," 19/63 ","2.8","Q2","2.7","1.1",
"Limnology and Oceanography Letters","LIMNOL OCEANOGR LETT","N/A","2378-2242","OCEANOGRAPHY - SCIE","1,481","7.8","Q1","1.91","75.34"%," 2/63 ","8","Q1","7.5","0.9",
"OCEANOLOGY","OCEANOLOGY+","0001-4370","1531-8508","OCEANOGRAPHY - SCIE","1,461","1","Q4","0.27","2.37"%," 51/63 ","1","Q4","0.8","0.3",
"ATMOSPHERE-OCEAN","ATMOS OCEAN","0705-5900","1480-9214","OCEANOGRAPHY - SCIE","1,447","1.2","Q4","0.41","23.81"%," 50/63 ","2","Q3","1","0.8",
"MARINE GEOPHYSICAL RESEARCH","MAR GEOPHYS RES","0025-3235","1573-0581","OCEANOGRAPHY - SCIE","1,416","1.4","Q3","0.55","18.27"%," 47/63 ","2","Q3","1.2","0.4",
"Journal of Oceanology and Limnology","J OCEANOL LIMNOL","2096-5508","2523-3521","OCEANOGRAPHY - SCIE","1,387","1.6","Q3","0.5","0.18"%," 42/63 ","1.6","Q3","1.6","0.5",
"Indian Journal of Geo-Marine Sciences","INDIAN J GEO-MAR SCI","0379-5136","0975-1033","OCEANOGRAPHY - SCIE","1,380","0.5","Q4","0.17","0"%," 60/63 ","0.6","Q4","0.5","0.1",
"DYNAMICS OF ATMOSPHERES AND OCEANS","DYNAM ATMOS OCEANS","0377-0265","1872-6879","OCEANOGRAPHY - SCIE","1,360","1.7","Q3","0.49","21.95"%," 41/63 ","1.9","Q3","1.6","0.2",
"IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS","IZV ATMOS OCEAN PHY+","0001-4338","1555-628X","OCEANOGRAPHY - SCIE","1,314","0.7","Q4","0.2","0.41"%," 57/63 ","0.7","Q4","0.5","0.1",
"TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES","TERR ATMOS OCEAN SCI","1017-0839","2311-7680","OCEANOGRAPHY - SCIE","1,248","0.8","Q4","0.31","93.25"%," 54/63 ","0.9","Q4","0.8","0.5",
"MARINE TECHNOLOGY SOCIETY JOURNAL","MAR TECHNOL SOC J","0025-3324","1948-1209","OCEANOGRAPHY - SCIE","1,169","0.8","Q4","0.21","0.94"%," 54/63 ","0.9","Q4","0.8","0.3",
"MARINE GEODESY","MAR GEOD","0149-0419","1521-060X","OCEANOGRAPHY - SCIE","1,134","1.6","Q3","0.4","6.59"%," 42/63 ","1.9","Q3","1.5","0.6",
"Ocean Science Journal","OCEAN SCI J","1738-5261","2005-7172","OCEANOGRAPHY - SCIE","798","1.3","Q4","0.35","2.33"%," 49/63 ","1.3","Q4","1.3","0.3",
"Journal of Operational Oceanography","J OPER OCEANOGR","1755-876X","1755-8778","OCEANOGRAPHY - SCIE","672","3.1","Q2","0.85","22.58"%," 16/63 ","3.8","Q1","2.8","0.5",
"REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA","REV BIOL MAR OCEANOG","0717-3326","0718-1957","OCEANOGRAPHY - SCIE","659","0.4","Q4","0.12","87.5"%," 62/63 ","0.7","Q4","0.4","<0.1",
"OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES","OCEANOL HYDROBIOL ST","1730-413X","1897-3191","OCEANOGRAPHY - SCIE","494","0.9","Q4","0.3","82.41"%," 52/63 ","0.9","Q4","0.8","0.2",
"ACTA ADRIATICA","ACTA ADRIAT","0001-5113","1846-0453","OCEANOGRAPHY - SCIE","458","0.9","Q4","0.23","46.38"%," 52/63 ","1","Q4","0.8","0.2",
"THALASSAS","THALASSAS","0212-5919","2366-1674","OCEANOGRAPHY - SCIE","389","0.7","Q4","0.27","2.94"%," 57/63 ","0.8","Q4","0.6","0.1",
"NAVAL ENGINEERS JOURNAL","NAV ENG J","0028-1425","1559-3584","OCEANOGRAPHY - SCIE","318","0.2","Q4","0.09","0"%," 63/63 ","0.3","Q4","0.2","<0.1",
"Plankton & Benthos Research","PLANKTON BENTHOS RES","1880-8247","1882-627X","OCEANOGRAPHY - SCIE","296","0.6","Q4","0.22","98.08"%," 59/63 ","0.7","Q4","0.6","0.3",
"Journal of Southern Hemisphere Earth Systems Science","J SO HEMISPH EARTH","N/A","2206-5865","OCEANOGRAPHY - SCIE","251","3.6","Q1","0.66","98.28"%," 9/63 ","2.5","Q2","3.3","0.3",
"Ocean and Coastal Research","OCEAN COAST RES","N/A","2675-2824","OCEANOGRAPHY - SCIE","71","0.8","Q4","0.27","93.58"%," 54/63 ","0.8","Q4","0.7","0.5",

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
