"Journal Data Filtered By:  Selected Categories: OCEANOGRAPHY Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"Annual Review of Marine Science","ANNU REV MAR SCI","1941-1405","1941-0611","OCEANOGRAPHY - SCIE","6,185","16.561","Q1","2.22","3.23"%," 1/66 ","20.594","16.561","7.619"," 2/68 ","97.79","0.006","1.343","6.548","99.24","Q1","21","0"%,"7.7","9.7","0",
"Journal of Marine Science and Engineering","J MAR SCI ENG","N/A","2077-1312","OCEANOGRAPHY - SCIE","6,037","2.744","Q2","0.91","95.56"%," 26/66 ","2.727","2.138","0.677"," 24/68 ","65.44","0.007","1.542","0.428","61.36","Q3","1,406","95.66"%,"1.7","8.4","1,345",
"IEEE JOURNAL OF OCEANIC ENGINEERING","IEEE J OCEANIC ENG","0364-9059","1558-1691","OCEANOGRAPHY - SCIE","5,875","3.883","Q1","1.28","5.37"%," 14/66 ","3.798","3.413","0.809"," 7/68 ","90.44","0.004","0.802","0.817","79.55","Q2","141","99.29"%,"10.1","10.2","140",
"OCEAN MODELLING","OCEAN MODEL","1463-5003","1463-5011","OCEANOGRAPHY - SCIE","5,873","3.293","Q2","0.99","20.16"%," 18/66 ","3.983","3.006","0.955"," 20/68 ","71.32","0.006","1.268","1.315","73.48","Q1","89","100"%,"8.4","10.9","89",
"BULLETIN OF MARINE SCIENCE","B MAR SCI","0007-4977","1553-6955","OCEANOGRAPHY - SCIE","5,720","1.689","Q3","0.61","24.41"%," 47/66 ","1.996","1.656","0.865"," 40/68 ","41.91","0.001","0.25","0.468","29.55","Q3","37","97.3"%,"22.3","11.9","36",
"OCEANOGRAPHY","OCEANOGRAPHY","1042-8275","1042-8275","OCEANOGRAPHY - SCIE","5,136","2.158","Q3","0.85","74.75"%," 40/66 ","3.889","2.086","1.88"," 30/68 ","56.62","0.004","0.918","1.284","40.15","Q1","50","100"%,"8.9","5.7","50",
"LIMNOLOGY AND OCEANOGRAPHY-METHODS","LIMNOL OCEANOGR-METH","1541-5856","1541-5856","OCEANOGRAPHY - SCIE","4,299","3.162","Q2","0.87","50.3"%," 20/66 ","3.217","2.981","0.5"," 29/68 ","58.09","0.002","0.531","0.812","70.45","Q2","64","98.44"%,"9.9","10","63",
"JOURNAL OF SEA RESEARCH","J SEA RES","1385-1101","1873-1414","OCEANOGRAPHY - SCIE","4,285","2.287","Q3","0.75","12.27"%," 36/66 ","2.284","2.223","0.476"," 36/68 ","47.79","0.002","0.456","0.494","46.21","Q3","63","98.41"%,"9.2","13.3","62",
"OCEAN DYNAMICS","OCEAN DYNAM","1616-7341","1616-7228","OCEANOGRAPHY - SCIE","3,709","2.83","Q2","0.82","19.49"%," 25/66 ","2.531","2.551","0.833"," 31/68 ","55.15","0.003","0.659","0.67","62.88","Q2","60","98.33"%,"8.2","11.1","59",
"Ocean Science","OCEAN SCI","1812-0784","1812-0792","OCEANOGRAPHY - SCIE","3,528","4.311","Q1","1.07","99.31"%," 7/66 ","4.041","4.015","1.194"," 16/68 ","77.21","0.005","1.058","1.179","90.15","Q1","93","100"%,"5.6","9.9","93",
