Rank	Full Journal Title	JCR Abbreviated Title	ISSN	Total Cites	Journal Impact Factor	Impact Factor without Journal Self Cites	5-Year Impact Factor	Immediacy Index	Citable Items	Cited Half-Life	Citing Half-life	Eigenfactor Score	Article Influence Score	% Articles in Citable Items	Average Journal Impact Factor Percentile	Normalized Eigenfactor
35	AMERICAN NATURALIST	AM NAT	0003-0147	28,666	3.855	3.674	4.058	1.311	151	19.5	11.7	0.018580	1.730	100.00	76.982	2.20756
36	Current Opinion in Insect Science	CURR OPIN INSECT SCI	2214-5745	1,563	3.784	3.551	4.235	1.019	103	2.9	5.4	0.006370	1.402	0.00	87.145	0.75690
37	Movement Ecology	MOV ECOL	2051-3933	608	3.745	3.608	Not Available	0.154	26	3.6	10.4	0.002970	Not Available	88.46	77.744	0.35390
38	Conservation Physiology	CONSERV PHYSIOL	2051-1434	1,126	3.634	3.063	4.063	0.530	66	3.6	8.9	0.003890	1.099	96.97	78.369	0.46209
39	MICROBIAL ECOLOGY	MICROB ECOL	0095-3628	10,808	3.611	3.474	3.983	1.239	188	8.4	8.6	0.011280	0.970	97.34	79.517	1.33983
40	EVOLUTION	EVOLUTION	0014-3820	31,677	3.573	3.247	4.092	1.140	207	15.0	10.3	0.029010	1.680	99.52	71.106	3.44622
41	APPLIED VEGETATION SCIENCE	APPL VEG SCI	1402-2001	2,148	3.568	3.232	3.022	0.557	61	6.7	10.8	0.003090	0.729	100.00	85.627	0.36701
42	OIKOS	OIKOS	0030-1299	21,957	3.468	3.370	3.765	0.994	163	14.4	10.4	0.016130	1.393	99.39	74.695	1.91642
43	ECOLOGICAL ENGINEERING	ECOL ENG	0925-8574	16,621	3.406	3.175	3.617	0.633	354	5.3	9.5	0.022320	0.653	98.02	68.662	2.65184
44	FRESHWATER BIOLOGY	FRESHWATER BIOL	0046-5070	15,013	3.404	3.143	3.597	1.374	123	10.8	10.3	0.012370	1.016	100.00	82.340	1.47034
45	WILDLIFE MONOGRAPHS	WILDLIFE MONOGR	0084-0173	827	3.333	3.000	7.250	1.333	6	26.4	12.7	0.000550	2.605	100.00	85.404	0.06541
