Rank	Full Journal Title	JCR Abbreviated Title	ISSN	Total Cites	Journal Impact Factor	Impact Factor without Journal Self Cites	5-Year Impact Factor	Immediacy Index	Citable Items	Cited Half-Life	Citing Half-life	Eigenfactor Score	Article Influence Score	% Articles in Citable Items	Average Journal Impact Factor Percentile	Normalized Eigenfactor
151	POLISH JOURNAL OF ECOLOGY	POL J ECOL	1505-2249	716	0.590	0.570	0.782	0.111	36	8.2	12.2	0.000800	0.203	100.00	8.232	0.09512
152	NORTHWEST SCIENCE	NORTHWEST SCI	0029-344X	773	0.571	0.571	0.651	0.280	25	17.4	13.9	0.000370	0.192	100.00	7.622	0.04499
153	RUSSIAN JOURNAL OF ECOLOGY	RUSS J ECOL+	1067-4136	822	0.497	0.365	0.545	0.024	82	9.8	13.6	0.000600	0.109	100.00	7.012	0.07153
154	Eco mont-Journal on Protected Mountain Areas Research	ECO MONT	2073-106X	73	0.488	0.341	0.426	0.364	22	Not Available	9.5	0.000130	0.111	95.45	8.805	0.01640
154	NORTHEASTERN NATURALIST	NORTHEAST NAT	1092-6194	713	0.488	0.471	0.635	0.218	55	9.4	13.7	0.000910	0.218	98.18	8.805	0.10884
156	Contemporary Problems of Ecology	CONTEMP PROBL ECOL+	1995-4255	407	0.446	0.384	0.431	0.103	78	5.7	12.9	0.000570	0.089	100.00	5.183	0.06810
157	REVUE D ECOLOGIE-LA TERRE ET LA VIE	REV ECOL-TERRE VIE	0249-7395	448	0.421	0.298	0.454	0.128	47	16.3	14.8	0.000260	0.123	100.00	4.573	0.03134
158	WESTERN NORTH AMERICAN NATURALIST	WEST N AM NATURALIST	1527-0904	619	0.420	0.390	0.490	0.452	73	10.2	13.7	0.000540	0.157	100.00	5.861	0.06433
159	SOUTHEASTERN NATURALIST	SOUTHEAST NAT	1528-7092	687	0.404	0.366	0.559	0.056	71	8.6	15.2	0.000960	0.174	98.59	4.694	0.11492
160	VIE ET MILIEU-LIFE AND ENVIRONMENT	VIE MILIEU	0240-8759	560	0.362	0.345	0.430	0.111	27	15.7	15.2	0.000230	0.155	92.59	2.529	0.02779
161	INTERCIENCIA	INTERCIENCIA	0378-1844	945	0.264	0.229	0.302	0.076	118	10.9	10.3	0.000420	0.054	99.15	2.134	0.05006
162	SOUTHWESTERN NATURALIST	SOUTHWEST NAT	0038-4909	1,120	0.226	0.226	0.328	Not Available	0	19.1	Not Available	0.000510	0.109	Not Available	2.055	0.06142
163	EKOLOJI	EKOLOJI	1300-1361	192	0.053	0.053	0.579	0.004	249	7.0	5.6	0.000170	0.111	100.00	0.915	0.02109
164	NATURAL HISTORY	NAT HIST	0028-0712	395	0.045	0.045	0.072	0.000	44	39.2	Not Available	0.000090	0.029	100.00	0.583	0.01131
