"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE,SSCI Selected Categories: 'ZOOLOGY' Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
1,MALACOLOGIA,MALACOLOGIA,0076-2997,967,13.500,13.375,3.286,0.182,11,17.4,16.4,0.000730,1.040,100.00,99.702,0.08975
2,Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,2165-8102,955,6.091,5.970,7.000,3.125,24,4.1,9.1,0.002670,2.160,100.00,96.670,0.32603
3,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,0021-8790,"16,767",4.554,4.393,4.907,1.214,131,12.2,10.4,0.016640,1.804,98.47,91.964,2.03095
4,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,DEV COMP IMMUNOL,0145-305X,"9,564",3.192,2.812,3.318,0.913,196,6.9,9.1,0.009780,0.635,98.47,77.387,1.19327
5,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,COMP BIOCHEM PHYS C,1532-0456,"6,711",2.892,2.680,2.855,0.890,155,12.5,9.4,0.003190,0.539,96.77,58.450,0.39014
6,ANIMAL COGNITION,ANIM COGN,1435-9448,"3,603",2.859,2.365,2.651,0.845,97,7.3,10.6,0.005240,0.766,100.00,84.421,0.63975
7,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,ZOOL J LINN SOC-LOND,0024-4082,"5,613",2.824,2.722,2.920,1.144,125,10.5,15.2,0.006480,0.975,99.20,96.131,0.79173
8,MAMMAL REVIEW,MAMMAL REV,0305-1838,"2,044",2.804,2.714,4.339,0.926,27,11.8,11.7,0.002140,1.401,0.00,83.036,0.26110
9,JOURNAL OF COMPARATIVE NEUROLOGY,J COMP NEUROL,0021-9967,"29,259",2.801,2.548,3.153,1.445,182,19.5,13.4,0.014500,1.263,91.76,69.518,1.77010
10,BEHAVIORAL ECOLOGY,BEHAV ECOL,1045-2249,"9,999",2.761,2.500,3.222,0.867,188,10.0,11.8,0.012450,1.106,97.87,75.839,1.51946
11,ANIMAL BEHAVIOUR,ANIM BEHAV,0003-3472,"25,782",2.689,2.437,2.971,0.710,252,14.2,11.4,0.017790,0.957,92.86,78.125,2.17122
12,ZOOLOGICAL RESEARCH,ZOOL RES,2095-8137,836,2.638,2.319,Not Available,1.459,37,5.9,8.1,0.001190,Not Available,89.19,93.155,0.14629
13,INTEGRATIVE AND COMPARATIVE BIOLOGY,INTEGR COMP BIOL,1540-7063,"5,715",2.637,2.495,3.067,1.391,138,9.0,10.3,0.007050,1.068,97.83,92.560,0.86075
14,ZOOLOGICA SCRIPTA,ZOOL SCR,0300-3256,"2,401",2.603,2.534,2.767,0.930,57,9.5,11.3,0.003010,0.884,100.00,71.482,0.36758
15,Frontiers in Zoology,FRONT ZOOL,1742-9994,"2,400",2.570,2.505,3.305,0.261,46,6.5,11.3,0.004370,1.136,97.83,91.369,0.53389
