"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ZOOLOGY' Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
140,REVUE SUISSE DE ZOOLOGIE,REV SUISSE ZOOL,0035-418X,"1,111",0.630,0.630,0.523,Not Available,0,27.7,Not Available,0.000350,0.206,Not Available,17.941,0.04266
141,REDIA-GIORNALE DI ZOOLOGIA,REDIA,0370-4327,441,0.618,0.436,0.716,0.286,28,34.4,11.1,0.000280,0.185,96.43,17.353,0.03359
142,AUSTRALIAN JOURNAL OF ZOOLOGY,AUST J ZOOL,0004-959X,"1,817",0.611,0.578,0.823,0.650,20,23.8,10.9,0.000890,0.291,95.00,16.765,0.10592
143,BELGIAN JOURNAL OF ZOOLOGY,BELG J ZOOL,0777-6276,420,0.607,0.607,0.891,0.091,11,13.2,11.1,0.000220,0.264,100.00,16.176,0.02654
143,TURKISH JOURNAL OF ZOOLOGY,TURK J ZOOL,1300-0179,996,0.607,0.579,0.761,0.145,83,6.5,15.0,0.001790,0.224,100.00,16.176,0.21329
145,BOLETIM DO INSTITUTO DE PESCA,BOL INST PESCA,0046-9939,537,0.599,0.408,0.586,0.050,60,7.8,10.6,0.000550,0.119,100.00,13.750,0.06561
146,JOURNAL OF MEDICAL PRIMATOLOGY,J MED PRIMATOL,0047-2565,835,0.598,0.467,0.791,0.115,61,11.4,11.9,0.000680,0.222,93.44,22.631,0.08148
147,FOLIA ZOOLOGICA,FOLIA ZOOL,0139-7893,770,0.594,0.536,0.749,0.000,26,11.7,14.1,0.000490,0.208,100.00,13.824,0.05851
148,RUSSIAN JOURNAL OF NEMATOLOGY,RUSS J NEMATOL,0869-6918,218,0.577,0.346,0.794,0.143,14,11.2,14.2,0.000200,0.231,100.00,13.235,0.02465
149,TROPICAL ZOOLOGY,TROP ZOOL,0394-6975,332,0.571,0.571,0.677,0.462,13,16.3,13.1,0.000180,0.223,100.00,12.647,0.02165
150,Animal Cells and Systems,ANIM CELLS SYST,1976-8354,199,0.549,0.500,0.483,0.037,54,4.7,10.9,0.000380,0.110,100.00,7.195,0.04561
151,COMPARATIVE PARASITOLOGY,COMP PARASITOL,1525-2647,418,0.520,0.387,0.592,0.172,29,8.4,17.7,0.000540,0.195,96.55,9.208,0.06467
152,ANNALS OF CARNEGIE MUSEUM,ANN CARNEGIE MUS,0097-4463,429,0.458,0.375,0.759,0.143,7,27.0,40.2,0.000180,0.253,100.00,8.511,0.02140
152,CALDASIA,CALDASIA,0366-5232,367,0.458,0.333,0.445,0.029,34,13.4,12.8,0.000180,0.104,100.00,9.498,0.02246
154,GAYANA,GAYANA,0717-6538,269,0.455,0.364,0.573,0.111,18,11.1,14.3,0.000180,0.156,100.00,9.706,0.02174
155,CURRENT HERPETOLOGY,CURR HERPETOL,1345-5834,139,0.450,0.350,Not Available,0.100,20,6.7,14.6,0.000210,Not Available,100.00,9.118,0.02546
156,SPIXIANA,SPIXIANA,0341-8391,343,0.442,0.423,0.656,0.190,21,14.2,14.2,0.000380,0.234,100.00,8.529,0.04598
157,AFRICAN JOURNAL OF HERPETOLOGY,AFR J HERPETOL,2156-4574,151,0.429,0.333,0.466,0.700,10,9.8,16.3,0.000110,0.148,100.00,7.941,0.01347
158,MAMMAL STUDY,MAMM STUDY,1343-4152,274,0.426,0.393,0.456,0.067,30,8.6,14.4,0.000260,0.125,96.67,7.353,0.03142
159,ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,ACTA ZOOL ACAD SCI H,1217-8837,672,0.421,0.395,0.522,0.190,21,27.1,15.3,0.000250,0.169,95.24,6.765,0.02988
160,IHERINGIA SERIE ZOOLOGIA,IHERINGIA SER ZOOL,0073-4721,688,0.420,0.389,0.601,0.143,28,10.0,12.8,0.000680,0.173,96.43,6.176,0.08193
161,RUSSIAN JOURNAL OF THERIOLOGY,RUSS J THERIOL,1682-3559,114,0.375,0.375,Not Available,0.000,11,8.4,15.4,0.000160,Not Available,100.00,5.588,0.01996
162,PHYLLOMEDUSA,PHYLLOMEDUSA,1519-1397,171,0.364,0.255,0.424,0.000,30,10.1,12.0,0.000160,0.127,100.00,5.000,0.01965
163,RUSSIAN JOURNAL OF HERPETOLOGY,RUSS J HERPETOL,1026-2296,290,0.325,0.289,0.628,0.026,38,7.5,13.5,0.000480,0.186,100.00,4.412,0.05733
164,JOURNAL OF CONCHOLOGY,J CONCHOL,0022-0019,222,0.311,0.311,0.368,0.063,16,14.7,28.2,0.000160,0.110,100.00,2.606,0.01966
165,PACHYDERM,PACHYDERM,1026-2881,174,0.292,0.292,0.657,Not Available,0,8.4,Not Available,0.000330,0.365,Not Available,3.773,0.04008
166,ZOOLOGICHESKY ZHURNAL,ZOOL ZH,0044-5134,"1,500",0.291,0.189,0.259,0.119,126,26.8,19.0,0.000530,0.060,100.00,2.647,0.06394
167,NEMATROPICA,NEMATROPICA,0099-5444,360,0.286,0.265,0.434,0.040,25,11.8,14.5,0.000210,0.122,100.00,2.059,0.02605
168,ACTA BIOLOGICA COLOMBIANA,ACTA BIOL COLOMB,1900-1649,257,0.283,0.264,Not Available,0.156,32,5.6,11.2,0.000350,Not Available,100.00,2.819,0.04245
169,ACTA ZOOLOGICA BULGARICA,ACTA ZOOL BULGAR,0324-0770,499,0.278,0.258,0.450,0.328,122,5.2,14.2,0.000870,0.122,100.00,0.882,0.10392
170,CALIFORNIA FISH AND GAME,CALIF FISH GAME,0008-1078,382,0.182,0.152,0.374,0.000,13,33.0,16.2,0.000140,0.096,92.31,1.589,0.01727
Copyright © 2019 Clarivate Analytics,,,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,,,
