"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ZOOLOGY' Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
31,AMERICAN JOURNAL OF PRIMATOLOGY,AM J PRIMATOL,0275-2565,"4,646",2.009,1.707,2.165,0.779,95,9.9,10.5,0.004590,0.629,93.68,82.059,0.54543
32,BEHAVIOURAL PROCESSES,BEHAV PROCESS,0376-6357,"4,567",2.008,1.810,1.881,0.388,206,7.8,12.3,0.007620,0.607,99.51,48.743,0.90617
33,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,COMP BIOCHEM PHYS B,1096-4959,"6,787",1.990,1.898,1.934,0.699,83,15.2,10.6,0.002780,0.446,97.59,53.109,0.33107
34,INTERNATIONAL JOURNAL OF PRIMATOLOGY,INT J PRIMATOL,0164-0291,"3,129",1.922,1.500,1.785,0.906,53,12.9,11.3,0.002020,0.509,94.34,80.294,0.24105
35,JOURNAL OF THERMAL BIOLOGY,J THERM BIOL,0306-4565,"3,766",1.902,1.570,2.290,0.297,209,8.7,11.2,0.004300,0.537,95.69,68.301,0.51103
36,JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,J COMP PHYSIOL A,0340-7594,"4,992",1.882,1.765,1.936,0.494,81,16.3,15.3,0.003930,0.711,88.89,38.770,0.46738
37,JOURNAL OF WILDLIFE MANAGEMENT,J WILDLIFE MANAGE,0022-541X,"11,095",1.881,1.546,2.134,0.929,156,13.0,12.0,0.005770,0.628,98.72,60.454,0.68630
38,PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,PHYSIOL BIOCHEM ZOOL,1522-2152,"3,074",1.873,1.764,2.182,0.550,40,10.7,12.1,0.003130,0.757,92.50,54.711,0.37183
39,BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,BIOACOUSTICS,0952-4622,590,1.780,1.610,1.628,0.833,24,10.3,12.2,0.000660,0.532,95.83,77.353,0.07849
40,ZOOLOGY,ZOOLOGY,0944-2006,"1,509",1.779,1.713,1.776,0.281,64,8.5,13.2,0.002120,0.580,96.88,76.765,0.25211
41,Zebrafish,ZEBRAFISH,1545-8547,"1,347",1.742,1.511,2.251,0.333,66,5.1,8.9,0.002840,0.596,93.94,54.160,0.33838
42,REPRODUCTION FERTILITY AND DEVELOPMENT,REPROD FERT DEVELOP,1031-3613,"3,863",1.723,1.596,2.021,0.642,162,7.2,10.8,0.005240,0.532,93.21,40.645,0.62308
43,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,J EXP ZOOL PART B,1552-5007,"1,425",1.716,1.557,2.108,0.639,36,8.3,10.3,0.002290,0.719,97.22,40.333,0.27207
44,LEARNING & BEHAVIOR,LEARN BEHAV,1543-4494,828,1.696,1.623,1.468,0.256,43,8.7,11.1,0.001140,0.507,93.02,38.567,0.13602
45,JOURNAL OF ZOOLOGY,J ZOOL,0952-8369,"8,678",1.676,1.603,2.077,0.396,96,17.3,12.5,0.004610,0.693,95.83,73.824,0.54769
46,HERPETOLOGICAL MONOGRAPHS,HERPETOL MONOGR,0733-1347,323,1.643,1.643,1.750,0.500,4,15.2,15.9,0.000240,0.672,100.00,73.235,0.02954
47,MAMMALIAN BIOLOGY,MAMM BIOL,1616-5047,"1,542",1.638,1.481,1.918,0.552,96,6.1,11.9,0.002760,0.573,98.96,72.647,0.32892
48,AMERICAN MUSEUM NOVITATES,AM MUS NOVIT,0003-0082,"2,387",1.605,1.395,1.328,0.500,28,24.5,16.9,0.000800,0.488,96.43,60.598,0.09567
49,ZOOLOGISCHER ANZEIGER,ZOOL ANZ,0044-5231,"2,022",1.601,1.497,1.571,0.446,83,20.1,15.2,0.001930,0.484,96.39,71.471,0.23026
50,ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,1508-1109,909,1.569,1.361,1.451,0.140,43,9.1,12.7,0.000920,0.379,100.00,70.882,0.10953
51,JOURNAL OF COMPARATIVE PSYCHOLOGY,J COMP PSYCHOL,0735-7036,"2,645",1.564,1.487,2.083,0.524,42,15.9,11.4,0.001990,0.734,100.00,44.121,0.23734
52,ZOOLOGICAL RESEARCH,ZOOL RES,2095-8137,625,1.556,1.361,Not Available,0.526,38,6.3,8.9,0.000990,Not Available,78.95,69.706,0.11777
53,Neotropical Ichthyology,NEOTROP ICHTHYOL,1679-6225,"1,612",1.543,1.243,1.618,0.277,65,7.2,12.4,0.002140,0.431,87.69,69.118,0.25469
54,BRAIN BEHAVIOR AND EVOLUTION,BRAIN BEHAV EVOLUT,0006-8977,"2,195",1.542,1.482,2.060,0.400,25,14.5,13.6,0.002110,0.800,96.00,31.113,0.25110
55,ETHOLOGY,ETHOLOGY,0179-1613,"4,333",1.525,1.439,1.644,0.436,94,11.8,12.3,0.004250,0.574,94.68,39.159,0.50578
56,ANIMAL WELFARE,ANIM WELFARE,0962-7286,"2,079",1.522,1.422,1.794,0.394,33,11.0,9.9,0.001390,0.443,96.97,69.315,0.16557
57,INVERTEBRATE BIOLOGY,INVERTEBR BIOL,1077-8306,794,1.451,1.380,1.333,0.172,29,11.3,15.7,0.000880,0.413,100.00,56.762,0.10510
58,JOURNAL OF HELMINTHOLOGY,J HELMINTHOL,0022-149X,"1,950",1.436,1.272,1.408,0.820,89,10.0,13.4,0.002350,0.414,93.26,50.449,0.27982
59,JOURNAL OF ETHOLOGY,J ETHOL,0289-0771,862,1.423,1.333,1.374,0.452,31,8.7,13.4,0.000940,0.417,100.00,37.039,0.11188
60,BEHAVIOUR,BEHAVIOUR,0005-7959,"4,990",1.401,1.352,1.400,0.435,46,20.1,10.5,0.002520,0.458,80.43,35.802,0.29977
61,JOURNAL OF NEMATOLOGY,J NEMATOL,0022-300X,"2,374",1.386,1.057,1.651,0.041,49,19.7,13.3,0.001090,0.447,100.00,64.412,0.13039
62,Nauplius,NAUPLIUS,0104-6497,357,1.381,1.063,Not Available,0.211,38,6.3,16.2,0.000600,Not Available,100.00,54.828,0.07171
63,HERPETOLOGICA,HERPETOLOGICA,0018-0831,"2,440",1.380,1.304,1.426,0.194,36,25.0,12.6,0.001230,0.479,100.00,63.235,0.14653
64,PRIMATES,PRIMATES,0032-8332,"2,032",1.363,1.124,1.375,0.647,51,15.9,11.8,0.001240,0.364,96.08,62.647,0.14790
65,JOURNAL OF MOLLUSCAN STUDIES,J MOLLUS STUD,0260-1230,"1,756",1.345,1.227,1.367,0.362,47,12.3,15.1,0.001570,0.406,95.74,52.557,0.18718
