Journal Data Filtered By: Selected Categories: SI Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator:Custom,

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Article Influence Score,Average JIF Percentile,Total Articles,Citing Half-Life,Cited Half-Life,% of Articles in Citable items,Citable Items
LIMNOLOGY AND OCEANOGRAPHY-METHODS,1541-5856,1541-5856,"OCEANOGRAPHY - SCIE","3,790",2.634,"Q2",0.97,42.46%,2.963,2.482,0.418,0.00275,0.57686,0.830,69.670,66,11.4,9.1,98.51%,67,
TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,N/A,1600-0870,"OCEANOGRAPHY - SCIE","3,324",2.000,"Q3",0.70,100.00%,2.618,1.922,0.592,0.00229,0.48033,1.026,33.654,49,10.5,12.5,100.00%,49,
OCEAN DYNAMICS,1616-7341,1616-7228,"OCEANOGRAPHY - SCIE","3,277",2.195,"Q3",0.83,16.84%,2.134,1.832,0.653,0.00311,0.65356,0.607,48.462,101,11.2,8.0,100.00%,101,
ACTA OCEANOLOGICA SINICA,0253-505X,1869-1099,"OCEANOGRAPHY - SCIE","2,833",1.431,"Q3",0.48,0.00%,1.445,1.343,0.287,0.00286,0.60005,0.310,30.000,174,11.8,6.3,100.00%,174,
Oceanography and Marine Biology,0078-3218,N/A,"OCEANOGRAPHY - SCIE","2,789",8.000,"Q1",n/a,0.00%,9.788,8.000,n/a,0.00098,0.20556,2.887,98.164,n/a,n/a,18.2,n/a%,n/a,
JOURNAL OF OCEANOGRAPHY,0916-8370,1573-868X,"OCEANOGRAPHY - SCIE","2,773",1.840,"Q3",0.72,15.27%,2.083,1.753,0.240,0.00157,0.33064,0.608,37.692,48,12.7,13.4,96.00%,50,
Journal of Marine Science and Engineering,N/A,2077-1312,"OCEANOGRAPHY - SCIE","2,763",2.458,"Q2",0.96,100.00%,2.455,1.808,0.637,0.00368,0.77234,0.430,58.301,969,8.9,1.7,94.72%,1023,
Ocean Science,1812-0784,N/A,"OCEANOGRAPHY - SCIE","2,761",3.416,"Q1",1.04,100.00%,3.202,3.254,0.451,0.00504,1.05631,1.177,68.310,91,10.0,6.0,100.00%,91,
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,0028-8330,1175-8805,"OCEANOGRAPHY - SCIE","2,685",1.842,"Q3",0.70,0.71%,2.131,1.447,0.672,0.00082,0.17326,0.439,45.653,59,11.9,18.4,92.19%,64,
JOURNAL OF NAVIGATION,0373-4633,1469-7785,"OCEANOGRAPHY - SCIE","2,526",1.995,"Q3",0.94,3.41%,2.277,1.866,1.013,0.00199,0.41769,0.454,50.072,78,6.8,7.5,100.00%,78,
FISHERIES OCEANOGRAPHY,1054-6006,1365-2419,"OCEANOGRAPHY - SCIE","2,428",2.786,"Q2",1.04,9.58%,2.823,2.357,0.638,0.00187,0.39273,0.749,69.371,69,11.7,11.1,100.00%,69,
